ocrSubjNumR,tocNum,ocrRepNo,id_repno_all,id_hd,tocName,keywordsall
1.1,1.1,NACA-TN-2593,NACA-TN-2593,metadc56234,Fundamental Aerodynamics,flow characteristics relaxation solutions
1.1,1.1,NACA-TN-2478,NACA-TN-2478,metadc55829,Fundamental Aerodynamics,turbulent boundary layers pressure gradients
1.1,1.1,NACA-TM-1329,NACA-TM-1329,metadc62957,Fundamental Aerodynamics,ring-shaped cowlings aircraft cowlings pressure distributions
1.1,1.1,NACA-RM-E51K07,NACA-RM-E51K07,metadc53304,Fundamental Aerodynamics,aerodynamics flame holders
1.1.1,1.1.1,NACA-TN-3149,NACA-TN-3149,metadc57012,Incompressible Flow,pressure losses compressible flow
1.1.1,1.1.1,NACA-TN-3343,NACA-TN-3343,metadc57533,Incompressible Flow,thin-wing theory slender-body theory
1.1.1,1.1.1,NACA-TN-3227,NACA-TN-3227,metadc57526,Incompressible Flow,two-dimensional vortex theory flow fields flow characteristics
1.1.1,1.1.1,NACA-TN-3208,NACA-TN-3208,metadc57322,Incompressible Flow,flow characteristics laminar boundary layers
1.1.1,1.1.1,NACA-TN-3169,NACA-TN-3169,metadc57034,Incompressible Flow,bluff-body problem drag characteristics shredding frequency
1.1.1,1.1.1,NACA-TN-3168,NACA-TN-3168,metadc57027,Incompressible Flow,hodographs flow characteristics
1.1.1,1.1.1,NACA-RM-54D19,NACA-RM-54D19,metadc60486,Incompressible Flow,aircraft turbulence temperature fluctuations
1.1.1,1.1.1,NACA-TN-2567,NACA-TN-2567,metadc55912,Incompressible Flow,skin friction aircraft skin
1.1.1,1.1.1,NACA-TN-3670,NACA-TN-3670,metadc56758,Incompressible Flow,vortex paths aircraft wings
1.1.1,1.1.1,NACA-TN-4176,NACA-TN-4176,metadc57002,Incompressible Flow,aerodynamics noncircular cylinders flow characteristics
1.1.1,1.1.1,NACA-TN-4221,NACA-TN-4221,metadc57189,Incompressible Flow,flow characteristics turbulent flow
1.1.1,1.1.1,NACA-TN-4231,NACA-TN-4231,metadc57266,Incompressible Flow,incompressible flow skin friction measurements
1.1.1,1.1.1,NACA-TN-4140,NACA-TN-4140,metadc56834,Incompressible Flow,turbulent shearing stress turbulent boundary layers
1.1.1,1.1.1,NACA-TN-4241,NACA-TN-4241,metadc57320,Incompressible Flow,subsonic flow passages internal flow systems
1.1.1,1.1.1,NACA-TN-4242,NACA-TN-4242,metadc57328,Incompressible Flow,aircraft wings aerodynamics
1.1.1,1.1.1,NACA-TN-4282,NACA-TN-4282,metadc57041,Incompressible Flow,magnetic field stabilization laminar flow
1.1.1,1.1.1,NACA-TN-4370,NACA-TN-4370,metadc57493,Incompressible Flow,boundary-layer flows aerodynamics
1.1.1,1.1.1,NACA-TN-4384,NACA-TN-4384,metadc57477,Incompressible Flow,temperature distributions turbulent flow
1.1.1,1.1.1,NACA-TN-3147,NACA-TN-3147,metadc57001,Incompressible Flow,droplet testing ice formation
1.1.1,1.1.1,NACA-TN-3105,NACA-TN-3105,metadc56972,Incompressible Flow,investigations slender wings
1.1.1,1.1.1,NACA-TN-3099,NACA-TN-3099,metadc53488,Incompressible Flow,fluid mechanics and heat transfer hydrodynamics
1.1.1,1.1.1,NACA-TN-3069,NACA-TN-3069,metadc56774,Incompressible Flow,flow characteristics aerodynamics
1.1.1,1.1.1,NACA-TN-3116,NACA-TN-3116,metadc57051,Incompressible Flow,pressure correlations isotropic turbulence
1.1.1,1.1.1,NACA-TN-3049,NACA-TN-3049,metadc56754,Incompressible Flow,boundary layers investigations
1.1.1,1.1.1,NACA-TN-3031,NACA-TN-3031,metadc57018,Incompressible Flow,pressure characteristics aircraft turbulence
1.1.1,1.1.1,NACA-TN-2999,NACA-TN-2999,metadc53477,Incompressible Flow,aircraft ducts elbow ducts
1.1.1,1.1.1,NACA-TN-2954,NACA-TN-2954,metadc57194,Incompressible Flow,turbulence structure pipe flow
1.1.1,1.1.1,NACA-RM-E51D12,NACA-RM-E51D12,metadc58814,Incompressible Flow,corrosive effects flowing liquid metals
1.1.1,1.1.1,NACA-TN-3383,NACA-TN-3383,metadc57326,Incompressible Flow,turbulent boundary layers yawed flat plates
1.1.1,1.1.1,NACA-TN-3670,NACA-TN-3670,metadc56758,Incompressible Flow,vortex paths aircraft wings
1.1.1,1.1.1,NACA-TN-4018,NACA-TN-4018,metadc57325,Incompressible Flow,free-stream turbulence flow characteristics
1.1.1,1.1.1,NACA-TN-3447,NACA-TN-3447,metadc57874,Incompressible Flow,boundary layers flow nozzles
1.1.1,1.1.1,NACA-TN-3448,NACA-TN-3448,metadc57876,Incompressible Flow,aircraft impellers flow characteristics
1.1.1,1.1.1,NACA-TN-3449,NACA-TN-3449,metadc57877,Incompressible Flow,aircraft impellers flow characteristics
1.1.1,1.1.1,NACA-TN-3770,NACA-TN-3770,metadc53504,Incompressible Flow,droplet trajectories elbows
1.1.2,1.1.2,NACA-TN-3058,NACA-TN-3058,metadc56840,Compressible Flow,heat-conduction effects aerodynamic heating
1.1.2,1.1.2,NACA-TN-3157,NACA-TN-3157,metadc57042,Compressible Flow,laminar boundary layers velocity distributions
1.1.2,1.1.2,NACA-TN-3101,NACA-TN-3101,metadc56952,Compressible Flow,flow characteristics aircraft impellers
1.1.2,1.1.2,NACA-TN-3105,NACA-TN-3105,metadc56972,Compressible Flow,investigations slender wings
1.1.2,1.1.2,NACA-TN-4378,NACA-TN-4378,metadc57532,Compressible Flow,heat transfer coefficients bodies of revolution
1.1.2,1.1.2,NACA-TN-4376,NACA-TN-4376,metadc57525,Compressible Flow,temperature recovery factors flow characteristics
1.1.2,1.1.2,NACA-TN-4345,NACA-TN-4345,metadc57205,Compressible Flow,heat transfer characteristics skin friction characteristics laminar boundary layers
1.1.2,1.1.2,NACA-TM-1439,NACA-TM-1439,metadc63897,Compressible Flow,fluid dynamics perturbation-series solutions
1.1.2,1.1.2,NACA-TN-4312,NACA-TN-4312,metadc57069,Compressible Flow,exhaust nozzles turbojet engines
1.1.2,1.1.2,NACA-TN-3028,NACA-TN-3028,metadc56987,Compressible Flow,laminar boundary layers heat transfer
1.1.2,1.1.2,NACA-TN-4243,NACA-TN-4243,metadc57329,Compressible Flow,turbulent boundary layers aerodynamics
1.1.2,1.1.2,NACA-TN-3924,NACA-TN-3924,metadc56664,Compressible Flow,aircraft combustors combustor liners
1.1.2,1.1.2,NACA-TN-4154,NACA-TN-4154,metadc56782,Compressible Flow,turbulent boundary layers heat transfer characteristics
1.1.2,1.1.2,NACA-TN-4125,NACA-TN-4125,metadc56600,Compressible Flow,pressure distributions aerodynamics
1.1.2,1.1.2,NACA-TN-4096,NACA-TN-4096,metadc56532,Compressible Flow,flow-turning losses aircraft propulsion
1.1.2,1.1.2,NACA-TN-4090,NACA-TN-4090,metadc56501,Compressible Flow,pressure distributions aircraft power shock waves
1.1.2,1.1.2,NACA-TN-4320,NACA-TN-4320,metadc57124,Compressible Flow,isothermal disks compressible laminar flow
1.1.2,1.1.2,NACA-TN-3005,NACA-TN-3005,metadc56698,Compressible Flow,heat transfer characteristics skin friction laminar boundary layers
1.1.2,1.1.2,NACA-RM-L53A07,NACA-RM-L53A07,metadc62203,Compressible Flow,actuator disks aerodynamics aircraft propellers
1.1.2,1.1.2,NACA-TN-4037,NACA-TN-4037,metadc56409,Compressible Flow,laminar boundary layers stagnation flows aerodynamics
1.1.2,1.1.2,NACA-TN-3663,NACA-TN-3663,metadc56645,Compressible Flow,flow factors discharge coefficients
1.1.2,1.1.2,NACA-TN-3627,NACA-TN-3627,metadc57891,Compressible Flow,boundary layers aerodynamics velocity profiles
1.1.2,1.1.2,NACA-TN-3594,NACA-TN-3594,metadc55940,Compressible Flow,fluid motion flow characteristics
1.1.2,1.1.2,NACA-TN-3599,NACA-TN-3599,metadc55955,Compressible Flow,heat transfer measurements aircraft nozzles
1.1.2,1.1.2,NACA-RM-L52K14,NACA-RM-L52K14,metadc59501,Compressible Flow,flutter characteristics wind tunnel testing
1.1.2,1.1.2,NACA-RM-L53D20,NACA-RM-L53D20,metadc59603,Compressible Flow,Bell X-1 aircraft pressure aerodynamics
1.1.2,1.1.2,NACA-RM-L53G14,NACA-RM-L53G14,metadc59667,Compressible Flow,Bell X-1 aircraft wings
1.1.2,1.1.2,NACA-TN-2961,NACA-TN-2961,metadc57273,Compressible Flow,flow characteristics aircraft compressors
1.1.2,1.1.2,NACA-RM-L53I15,NACA-RM-L53I15,metadc62175,Compressible Flow,Bell X-1 pressure distribution measurements
1.1.2,1.1.2,NACA-RM-L56F18a,NACA-RM-L56F18a,metadc65386,Compressible Flow,sting-support interference wind tunnel testing
1.1.2,1.1.2,NACA-TN-3680,NACA-TN-3680,metadc57925,Compressible Flow,shock waves grid interaction
1.1.2,1.1.2,NACA-RM-L8B13,NACA-RM-L8B13,metadc57558,Compressible Flow,static-pressure measurements static pressures aerodynamics
1.1.2,1.1.2,NACA-RM-E50A06,NACA-RM-E50A06,metadc58404,Compressible Flow,air-cooled turbines aircraft performance
1.1.2,1.1.2,NACA-RM-E50E04,NACA-RM-E50E04,metadc58479,Compressible Flow,turbine-inlet temperatures aircraft blades
1.1.2,1.1.2,NACA-RM-E52D01,NACA-RM-E52D01,metadc59376,Compressible Flow,turbine blades aircraft cooling
1.1.2,1.1.2,NACA-TN-2700,NACA-TN-2700,metadc279660,Compressible Flow,aerodynamics wings
1.1.2,1.1.2,NACA-RM-L55A18,NACA-RM-L55A18,metadc61296,Compressible Flow,aircraft wings flutter characteristics
1.1.2,1.1.2,NACA-RM-L53G28,NACA-RM-L53G28,metadc59764,Compressible Flow,flow characteristics buzzing oscillation
1.1.2,1.1.2,NACA-TN-2726,NACA-TN-2726,metadc56143,Compressible Flow,transonic similarity rules aircraft wings
1.1.2,1.1.2,NACA-RM-H55A10,NACA-RM-H55A10,metadc61198,Compressible Flow,pressure distributions Douglas X-3
1.1.2,1.1.2,NACA-RM-L53K12,NACA-RM-L53K12,metadc59951,Compressible Flow,support interference aerodynamics
1.1.2,1.1.2,NACA-RM-E52E21,NACA-RM-E52E21,metadc59289,Compressible Flow,aircraft ejectors aircraft cooling
1.1.2,1.1.2,NACA-TN-3447,NACA-TN-3447,metadc57874,Compressible Flow,boundary layers flow nozzles
1.1.2,1.1.2,NACA-TN-3406,NACA-TN-3406,metadc57446,Compressible Flow,anenometers aircraft compressors
1.1.2,1.1.2,NACA-TN-3326,NACA-TN-3326,metadc57415,Compressible Flow,heat transfer characteristics laminar boundary layers
1.1.2,1.1.2,NACA-TN-3399,NACA-TN-3399,metadc57471,Compressible Flow,aircraft blades aircraft compressors
1.1.2,1.1.2,NACA-TN-3325,NACA-TN-3325,metadc57411,Compressible Flow,Stewartson's transformation differential equations
1.1.2,1.1.2,NACA-TN-3386,NACA-TN-3386,metadc57348,Compressible Flow,airfoils supersonic flow
1.1.2,1.1.2,NACA-TN-3318,NACA-TN-3318,metadc57363,Compressible Flow,Prandtl-Busemann small-disturbance method subsonic flow
1.1.2,1.1.2,NACA-TN-3343,NACA-TN-3343,metadc57533,Compressible Flow,thin-wing theory slender-body theory
1.1.2,1.1.2,NACA-TN-3227,NACA-TN-3227,metadc57526,Compressible Flow,two-dimensional vortex theory flow fields flow characteristics
1.1.2,1.1.2,NACA-TN-3229,NACA-TN-3229,metadc57555,Compressible Flow,compressible flow small-disturbance method
1.1.2,1.1.2,NACA-RM-L8K01,NACA-RM-L8K01,metadc57935,Compressible Flow,drag characteristics aerodynamics
1.1.2,1.1.2,NACA-RM-L9H29a,NACA-RM-L9H29a,metadc58316,Compressible Flow,boundary layer profiles aerodynamics
1.1.2,1.1.2,NACA-RM-L50A03a,NACA-RM-L50A03a,metadc58368,Compressible Flow,design nozzle
1.1.2,1.1.2,NACA-RM-L51H30,NACA-RM-L51H30,metadc59101,Compressible Flow,aircraft wings lift characteristics drag characteristics
1.1.2,1.1.2,NACA-TN-2567,NACA-TN-2567,metadc55912,Compressible Flow,skin friction aircraft skin
1.1.2,1.1.2,NACA-TN-3457,NACA-TN-3457,metadc57559,Compressible Flow,aircraft inlets drag characteristics
1.1.2,1.1.2,NACA-TN-3455,NACA-TN-3455,metadc57534,Compressible Flow,thermocouple probes recovery characteristics flow characteristics
1.1.2,1.1.2,NACA-RM-E55F09,NACA-RM-E55F09,metadc61453,Compressible Flow,thrust reversers cascade-type thrust reversers
1.1.2,1.1.2,NACA-TN-3486,NACA-TN-3486,metadc57807,Compressible Flow,turbulent skin friction flat plates
1.1.2,1.1.2,NACA-RM-E54F02,NACA-RM-E54F02,metadc60383,Compressible Flow,conical air ejectors aircraft engines
1.1.2,1.1.2,NACA-RM-E54A18,NACA-RM-E54A18,metadc60224,Compressible Flow,aircraft ejectors aircraft cooling
1.1.2,1.1.2,NACA-RM-E53J13,NACA-RM-E53J13,metadc60526,Compressible Flow,divergent ejector configurations aerodynamics thrust characteristics
1.1.2,1.1.2,NACA-RM-E53B09,NACA-RM-E53B09,metadc59571,Compressible Flow,aircraft impellers flow characteristics
1.1.2,1.1.2,NACA-RM-E53A12,NACA-RM-E53A12,metadc59532,Compressible Flow,pressure recoveries aircraft inlets
1.1.2,1.1.2,NACA-TN-3766,NACA-TN-3766,metadc55973,Compressible Flow,radiation effects thermocouple probes
1.1.2,1.1.2,NACA-TN-3831,NACA-TN-3831,metadc56065,Compressible Flow,turbine blades mass-flow tables
1.1.2,1.1.2,NACA-TN-3886,NACA-TN-3886,metadc56404,Compressible Flow,compressible laminar boundary layers flow characteristics
1.1.2,1.1.2,NACA-RM-E56C16,NACA-RM-E56C16,metadc62198,Compressible Flow,lateral supports body-strut interference aircraft testing
1.1.2,1.1.2,NACA-TN-3888,NACA-TN-3888,metadc56414,Compressible Flow,calculation methods compressible laminar heat transfer pressure gradients
1.1.2,1.1.2,NACA-TN-3869,NACA-TN-3869,metadc56367,Compressible Flow,pressure distributions boundary layer separation
1.1.2,1.1.2,NACA-TN-3969,NACA-TN-3969,metadc56487,Compressible Flow,aerodynamic heating transpiration cooling
1.1.2,1.1.2,NACA-TN-4021,NACA-TN-4021,metadc57355,Compressible Flow,shock tubes boundary layer characteristics
1.1.2,1.1.2,NACA-TN-3943,NACA-TN-3943,metadc56895,Compressible Flow,laminar boundary layers flow characteristics expansion waves
1.1.2,1.1.2,NACA-TN-3944,NACA-TN-3944,metadc56219,Compressible Flow,laminar boundary layers aerodynamics
1.1.2,1.1.2,NACA-TN-3296,NACA-TN-3296,metadc57571,Compressible Flow,laminar boundary layers compressible flow flow characteristics
1.1.2,1.1.2,NACA-TN-3569,NACA-TN-3569,metadc57835,Compressible Flow,temperature profiles boundary-layer characteristics
1.1.2,1.1.2,NACA-TN-3568,NACA-TN-3568,metadc57829,Compressible Flow,pressure pulsations total-pressure probes
1.1.2,1.1.2,NACA-TN-3877,NACA-TN-3877,metadc56325,Compressible Flow,Stokes' stream function flow characteristics
1.1.2,1.1.2,NACA-RM-E56L07,NACA-RM-E56L07,metadc64446,Compressible Flow,aircraft impellers blade shrouds
1.1.2,1.1.2,NACA-TN-4352,NACA-TN-4352,metadc57249,Compressible Flow,shock parameters thermodynamics
1.1.2,1.1.2,NACA-TN-2531,NACA-TN-2531,metadc56116,Compressible Flow,laminar boundary layers aerodynamics
1.1.2,1.1.2,NACA-TN-2597,NACA-TN-2597,metadc56237,Compressible Flow,Crocco method flow characteristics
1.1.2,1.1.2,NACA-TN-2590,NACA-TN-2590,metadc56222,Compressible Flow,wing-aileron combination aircraft stability
1.1.2,1.1.2,NACA-TN-2582,NACA-TN-2582,metadc56202,Compressible Flow,hodograph method compressible flow
1.1.2,1.1.2,NACA-TN-2567,NACA-TN-2567,metadc55912,Compressible Flow,skin friction aircraft skin
1.1.2,1.1.2,NACA-TN-2438,NACA-TN-2438,metadc55889,Compressible Flow,thermodynamics heat transfer coefficients
1.1.2,1.1.2,NACA-TN-2165,NACA-TN-2165,metadc55729,Compressible Flow,flow analysis aircraft impellers
1.1.2,1.1.2,NACA-TN-2543,NACA-TN-2543,metadc56277,Compressible Flow,turbulent boundary layers flow characteristics
1.1.2,1.1.2,NACA-TN-2542,NACA-TN-2542,metadc56271,Compressible Flow,turbulent boundary layers compressible flows
1.1.2,1.1.2,NACA-TN-2511,NACA-TN-2511,metadc55872,Compressible Flow,flow characteristics compressible fluids
1.1.2,1.1.2,NACA-TN-2506,NACA-TN-2506,metadc56363,Compressible Flow,Mach numbers methods
1.1.2,1.1.2,NACA-TN-2501,NACA-TN-2501,metadc56232,Compressible Flow,aerodynamics flow compressibility
1.1.2,1.1.2,NACA-TN-2441,NACA-TN-2441,metadc59841,Compressible Flow,hypersonic flow optical measuring methods
1.1.2,1.1.2,NACA-TN-2436,NACA-TN-2436,metadc54134,Compressible Flow,two-dimensional flow heat addition
1.1.2,1.1.2,NACA-TN-2432,NACA-TN-2432,metadc55880,Compressible Flow,hodograph flow equations flow characteristics
1.1.2,1.1.2,NACA-TN-2407,NACA-TN-2407,metadc55661,Compressible Flow,compressible fluid flow characteristics
1.1.2,1.1.2,NACA-TN-2403,NACA-TN-2403,metadc55851,Compressible Flow,lift characteristics pitching moments aircraft wings
1.1.2,1.1.2,NACA-TN-2164,NACA-TN-2164,metadc55508,Compressible Flow,axial-momentum theory aircraft propellers
1.1.2,1.1.2,NACA-TN-2159,NACA-TN-2159,metadc55755,Compressible Flow,Prandtl-Busemann equations compressible flow
1.1.2,1.1.2,NACA-TN-2922,NACA-TN-2922,metadc56661,Compressible Flow,aircraft nozzles aircraft design
1.1.2,1.1.2,NACA-RM-L9H10,NACA-RM-L9H10,metadc64924,Compressible Flow,aircraft diffusers aircraft inlets
1.1.2,1.1.2,NACA-RM-E9I21,NACA-RM-E9I21,metadc58331,Compressible Flow,aircraft power jet-propulsion power plants
1.1.2,1.1.2,NACA-TN-2885,NACA-TN-2885,metadc56900,Compressible Flow,flow characteristics compressible fluids hodograph method
1.1.2,1.1.2,NACA-TN-2918,NACA-TN-2918,metadc56646,Compressible Flow,parallel-jet mixing wind tunnel testing
1.1.2,1.1.2,NACA-TN-2604,NACA-TN-2604,metadc56076,Compressible Flow,flow characteristics turbomachines
1.1.2,1.1.2,NACA-TN-2610,NACA-TN-2610,metadc56147,Compressible Flow,vaneless diffusers aircraft compressors
1.1.2,1.1.2,NACA-RM-L9L09,NACA-RM-L9L09,metadc58458,Compressible Flow,aerodynamics leading-edge radius airfoils
1.1.2,1.1.2,NACA-TN-2666,NACA-TN-2666,metadc56864,Compressible Flow,flow characteristics motion equations
1.1.2,1.1.2,NACA-TN-2655,NACA-TN-2655,metadc55908,Compressible Flow,laminar boundary layers boundary layer equations
1.1.2,1.1.2,NACA-TN-2887,NACA-TN-2887,metadc56911,Compressible Flow,stream mixing stability theory
1.1.2,1.1.2,NACA-TN-2794,NACA-TN-2794,metadc56357,Compressible Flow,flow characteristics linearized characteristics
1.1.2,1.1.2,NACA-TN-2784,NACA-TN-2784,metadc56294,Compressible Flow,laminar boundary layers boundary layer characteristics
1.1.2,1.1.2,NACA-TN-2773,NACA-TN-2773,metadc56489,Compressible Flow,laminar boundary layers skin friction
1.1.2,1.1.2,NACA-TN-2749,NACA-TN-2749,metadc56468,Compressible Flow,analyses blades
1.1.2,1.1.2,NACA-TN-2818,NACA-TN-2818,metadc56576,Compressible Flow,laminar compressible boundary layers flat plates
1.1.2,1.1.2,NACA-TN-2726,NACA-TN-2726,metadc56143,Compressible Flow,transonic similarity rules aircraft wings
1.1.2,1.1.2,NACA-TN-2750,NACA-TN-2750,metadc56474,Compressible Flow,axial-flow turbines flow characteristics
1.1.2,1.1.2,NACA-TN-2700,NACA-TN-2700,metadc279660,Compressible Flow,aerodynamics wings
1.1.2,1.1.2,NACA-TN-2681,NACA-TN-2681,metadc57033,Compressible Flow,compressible flows pressure distributions
1.1.2,1.1.2,NACA-TN-2718,NACA-TN-2718,metadc55932,Compressible Flow,flow characteristics aircraft blades
1.1.2,1.1.2,NACA-TN-2702,NACA-TN-2702,metadc55871,Compressible Flow,flow characteristics turbomachine blades
1.1.2.1,1.1.2.1,NACA-RM-L51K14,NACA-RM-L51K14,metadc59305,Subsonic Flow,aircraft testing tunnel calibration slotted testing tunnel
1.1.2.1,1.1.2.1,NACA-TN-4029,NACA-TN-4029,metadc57441,Subsonic Flow,jet nozzles flow characteristics aircraft turbulence
1.1.2.1,1.1.2.1,NACA-TN-4017,NACA-TN-4017,metadc57314,Subsonic Flow,friction coefficients boundary layer effects
1.1.2.1,1.1.2.1,NACA-TN-4091,NACA-TN-4091,metadc56507,Subsonic Flow,coolant injections aircraft cooling
1.1.2.1,1.1.2.1,NACA-TN-3995,NACA-TN-3995,metadc56548,Subsonic Flow,flow characteristics bends
1.1.2.1,1.1.2.1,NACA-RM-L57F25,NACA-RM-L57F25,metadc63756,Subsonic Flow,nose shapes aircraft noses aerodynamics
1.1.2.1,1.1.2.1,NACA-TN-3815,NACA-TN-3815,metadc56195,Subsonic Flow,slender-body theory transonic area rule aerodynamics
1.1.2.1,1.1.2.1,NACA-RM-E56E16,NACA-RM-E56E16,metadc62762,Subsonic Flow,visualization studies aircraft turbines
1.1.2.1,1.1.2.1,NACA-RM-E54B16,NACA-RM-E54B16,metadc60150,Subsonic Flow,aerodynamics boundary layer control
1.1.2.1,1.1.2.1,NACA-RM-E54B09,NACA-RM-E54B09,metadc62565,Subsonic Flow,aircraft diffusers afterburners
1.1.2.1,1.1.2.1,NACA-RM-E53L15,NACA-RM-E53L15,metadc64788,Subsonic Flow,aircraft diffusers ramjet engines
1.1.2.1,1.1.2.1,NACA-TN-4333,NACA-TN-4333,metadc57357,Subsonic Flow,aircraft stiffeners pressure distributions
1.1.2.1,1.1.2.1,NACA-TN-2753,NACA-TN-2753,metadc56398,Subsonic Flow,lift coefficients airfoils
1.1.2.1,1.1.2.1,NACA-TN-2913,NACA-TN-2913,metadc56619,Subsonic Flow,aerodynamics wake development
1.1.2.1,1.1.2.1,NACA-TN-2903,NACA-TN-2903,metadc53484,Subsonic Flow,water droplets droplet impingement
1.1.2.1,1.1.2.1,NACA-TN-2892,NACA-TN-2892,metadc56953,Subsonic Flow,calculations aerodynamics laminar boundary layers
1.1.2.1,1.1.2.1,NACA-TN-2825,NACA-TN-2825,metadc56347,Subsonic Flow,lift characteristics drag characteristics
1.1.2.1,1.1.2.1,NACA-TN-3924,NACA-TN-3924,metadc56664,Subsonic Flow,aircraft combustors combustor liners
1.1.2.1,1.1.2.1,NACA-TN-2730,NACA-TN-2730,metadc56171,Subsonic Flow,induction nozzles flow characteristics induction choking
1.1.2.1,1.1.2.1,NACA-TN-2593,NACA-TN-2593,metadc56234,Subsonic Flow,flow characteristics relaxation solutions
1.1.2.1,1.1.2.1,NACA-TN-2567,NACA-TN-2567,metadc55912,Subsonic Flow,skin friction aircraft skin
1.1.2.1,1.1.2.1,NACA-TN-2511,NACA-TN-2511,metadc55872,Subsonic Flow,flow characteristics compressible fluids
1.1.2.1,1.1.2.1,NACA-TN-2461,NACA-TN-2461,metadc55820,Subsonic Flow,analyses sweptback wings
1.1.2.1,1.1.2.1,NACA-TN-3950,NACA-TN-3950,metadc56273,Subsonic Flow,duct-exit Mach number helicopter power
