|ocrSubjNumT|,|ocrTitle|
|1.1.2|,|THEORETICAL AND EXPERIMENTAL INVESTIGA- TION OF THE SUBSONIC-FLOW FIELDS BENEATH SWEPT AND UNSWEPT WINGS WITH TABLES OF VORTEX-INDUCED VELOCITIES. William J. Alford, Jr. August 1956. 91p. diagrs., photo., tabs. (NACA TN 3738) |
|1.1.2|,|AN EXPERIMENTAL INVESTIGATION OF STING- SUPPORT EFFECTS ON DRAG AND A COMPARISON WITH JET EFFECTS AT TRANSONIC SPEEDS. |
|1.1.2|,|Maurices. Cahn. September 1956. 67p. diagrs., tabs, (NACA RM L56F18a) |
|1.1.2|,|INTERACTION OF GRIDS WITH TRAVELING SHOCK WAVES. Darshan Singh Dosanjh, Johns Hopkins University. September 1956. 80p. diagrs., photos. (NACA TN 3680) |
|1.1.2|,|RADIATION AND RECOVERY CORRECTIONS AND TIME CONSTANTS OF SEVERAL CHROMEL- ALUMEL THERMOCOUPLE PROBES IN HIGH- TEMPERATURE, HIGH-VELOCITY GAS STREAMS. George E. Glawe, Frederick S. Simmons, and Truman M. Stickney. October 1956. 25p. diagrs., photo., tabs. (NACA TN 3766) |
|1.1.2|,|TABULATION OF MASS-FLOW PARAMETERS FOR USE IN DESIGN OF TURBOMACHINE BLADE ROWS FOR RATIOS OF SPECIFIC HEATS OF 1.3 AND 1.4. Warren J. Whitney. October 1956. lllp. diagrs., tabs. (NACA TN 3831) |
|1.1.2|,|AVERAGE PROPERTIES OF COMPRESSIBLE LAM- INAR BOUNDARY LAYER ON FLAT PLATE WITH UNSTEADY FLIGHT VELOCITY. FrankUn K. Moore and Simon Ostrach. December 1956. 35p. diagrs., tabs. (NACA TN 3886) |
|1.1.2|,|SIMPLIFIED METHOD FOR ESTIMATING COM- PRESSIBLE LAMINAR HEAT TRANSFER WITH PRESSURE GRADIENT. EliReshotko. December 1956. 16p. diagrs. (NACA TN 3888) |
|1.1.2|,|RESULTS OF TWO FREE-FALL EXPERIMENTS ON FLUTTER OF THIN UNSWEPT WINGS IN THE TRANSONIC SPEED RANGE. WilUam T. Lauten, Jr., and Herbert C. Nelson. January 1957. 20p. diagrs., photo., tabs. (NACA TN 3902. Supersedes RM L51C08) |
|1.1.2|,|ON STOKES' STREAM FUNCTION IN COMPRESS- IBLE SMALL-DISTURBANCE THEORY. Milton D. Van Dyke. February 1957. 15p. diagrs. (NACA TN 3877) |
|1.1.2|,|INVESTIGATION OF SEPARATED FLOWS IN SU- PERSONIC AND SUBSONIC STREAMS WITH EM- PHASIS ON THE EFFECT OF TRANSITION. Dean R. Chapman, Donald M. Kuehn, and Howard K. Larson. March 1957. 109p. diagrs., photos. (NACA TN 3869) |
|1.1.2|,|A THEORETICAL STUDY OF THE EFFECT OF UP- STREAM TRANSPIRATION COOUNG ON THE HEAT- TRANSFER AND SKIN-FRICTION CHARACTERIS- TICS OF A COMPRESSIBLE, LAMINAR BOUNDARY LAYER. Morris W. Rubesin and Mamoru Inouye. May 1957. 41p. diagrs., tab. (NACA TN 3969) |
|1.1.2|,|INTERACTION OF MOVING SHOCKS AND HOT LAYERS. Robert V. Hess. May 1957. 65p. diagrs. (NACA TN 4002) |
|1.1.2|,|NONUNIFORMITIES IN SHOCK-TUBE FLOW DUE TO UNSTEADY-BOUNDARY-LAYER ACTION. Harold Mirels and W. H. Braun. May 1957. 45p. diagrs. (NACA TN 4021) |
|1.1.2|,|A POWER -SERIES SOLUTION FOR THE UNSTEADY LAMINAR BOUNDARY-LAYER FLOW IN AN EX- PANSION WAVE OF FINITE WIDTH MOVING THROUGH A GAS INITIALLY AT REST. Nathaniel B. Cohen. June 1957. 56p. diagrs., tabs. (NACA TN 3943) |
|1.1.2|,|AN INTEGRAL SOLUTION TO THE FLAT-PLATE LAMINAR BOUNDARY- LAYER FLOW EXISTING IN- SIDE AND AFTER EXPANSION WAVES AND AFTER SHOCK WAVES MOVING INTO QUIESCENT FLLID WITH PARTICULAR APPLICATION TO THE COM- PLETE SHOCK-TUBE FLOW. Robert L, Trimpi and Nathaniel B. Cohen. June 1957. li, 180 p. diagrs., tab. (NACA TN 3944) |
|1.1.2|,|COMPRESSIBLE LAMINAR BOUNDARY LAYER OVER A YAWED INFINITE CYLINDER WITH HEAT TRANSFER AND ARBITRARY PRANDTL NUMBER. Eli Reshotko and Ivan E. Beckwith. June 1957. (i), 86p. diagrs., tabs. (NACA TN 3986) |
|1.1.2.1|,|AN INVESTIGATION AT TRANSONIC SPEEDS OF THE AERODYNAMIC CHARACTERISTICS OF AN AIR INLET INSTALLED IN THE ROOT OF A 45° SWEPT- BACK WING. Robert R. Howell and Arvid L. Keith, Jr. October 1952. 47p. diagrs., photos., Ubs. (NACA RM L52H08a) |
|1.1.2.1|,|THE INFLUENCE OF VORTEX GENERATORS ON THE PERFORMANCE OF A SHORT 1.9:1 STRAIGHT - WALL ANNULAR DIFFUSER WITH A WHIRLING IN- LET FLOW- Charles C. Wood and James T. Higginbotham. February 1953. 38p. diagrs., photo., tab. (NACA RM L52L01a) |
|1.1.2.1|,|SOME MEASUREMENTS OF AERODYNAMIC FORCES AND MOMENTS AT SUBSONIC SPEEDS ON A RECTANGULAR WING OF ASPECT RATIO 2 OS- CILLATING ABOUT THE MIDCHORD. Edward Wldmayer, Jr., Sherman A. Clevenson, and Sumner A. Leadbetter. August 1953. 45p, dlagrs., tabs. (NACARML53F19) |
|1.1.2.1|,|PERFORMANCE CHARACTERISTICS OF A 240 STRAIGHT-OUTER -WALL ANNULAR -DIFFUSER- TAILPIPE COMBINATION UTILIZING RECTANGU- LAR VORTEX GENERATORS FOR FLOW CON - TROL. Charles C. Wood and James T. Higginbotham. October 1953. 33p. diagrs., tabs. (NACA RM L53H17a) |
|1.1.2.1|,|EFFECTS OF DIFFUSER AND CENTER -BODY LENGTH ON PERFORMANCE OF ANNULAR DIF- FUSERS WITH CONSTANT-DIAMETER OUTER WALLS AND WITH VORTEX-GENERATOR FLOW CONTROLS. Charles C. Wood and James T. Higginbotham. September 1954. 39p. diagrs., photo., tab. (NACA RM L54G21) |
|1.1.2.1|,|ANALYSIS AND CALCULATION BY INTEGRAL METHODS OF LAMINAR COMPRESSIBLE BOUND- ARY LAYER WITH HEAT TRANSFER AND WITH AND WITHOUT PRESSURE GRADIENT. Morris Morduchow, Polytechnic Institute of Brooklyn. 1955. 11, 19p. diagrs., tabs, (NACARept. 1245) |
|1.1.2.1|,|INVESTIGATION OF TWO SHORT ANNULAR DIF- FUSER CONFIGURATIONS UTILIZING SUCTION AND INJECTION AS A MEANS OF BOUNDARY- LAYER CONTROL. Stafford W. Wilbur and James T. Higginbotham. January 1955. 43p. diagrs. (NACA RM L54K18) |
|1.1.2.1|,|SECOND-ORDER SUBSONIC AIRFOIL THEORY IN- CLUDING EDGE EFFECTS. Milton D. Van Dyke. 1956. ii. 23p. diagrs., tabs. (NACA Rept. 1274. Supersedes TN 3390 and portions of TN 3343) |
|1.1.2.1|,|INTENSITY, SCALE, AND SPECTRA OF TURBU- LENCE IN MIXING REGION OF FREE SUBSONIC JET. James C. Laurence. 1956. ii, 27p. diagrs., photo., tab. (NACA Rept. 1292. Supersedes TN 3561; TN 3576) |
|1.1.2.1|,|ON SLENDER-BODY THEORY AND THE AREA RULE AT TRANSONIC SPEEDS. Keith C. Harder and E. B. Klunker. November 1956. 14p. (NACA TN 3815. Supersedes RM L54A29a) |
|1.1.2.1|,|PARTICULAR SOLUTIONS FOR FLOWS AT MACH NUMBER 1. Max. A. Heaalet and Franklyn B. Fnlltr. November 1956. 32p. diagrs. (NACA TN 3868) |
|1.1.2.1|,|THE SIMILARITY RULES FOR SECOND-ORDER SUBSONIC AND SUPERSONIC FLOW. Milton D. Van Dyke. January 1957. 20p. diagrs. |
|1.1.2.1|,|ANALYTICAL INVESTIGATION OF THE EFFECT OF WATER INJECTION ON SUPERSONIC TURBOJET- ENGINE - INLET MATCHING AND THRUST AUG- MENTATION. Andrew Beke. January 1957. 25p. diagrs. (NACA TN 3922) |
|1.1.2.1|,|ON SUBSONIC FLOW PAST A PARABOLOID OF REVOLUTION. Carl Kaplan. February 1957. 21p. diagrs., tab. (NACA TN 3700) |
|1.1.2.1|,|EXPERIMENTAL INVESTIGATION OF THE OSCIL- LATING FORCES AND MOMENTS ON A TWO- DIMENSIONAL WING EQUIPPED WITH AN OSCIL- LATING CIRCULAR-ARC SPOILER. Sherman A. Clevenson and John E. Tomassoni, March 1957. 20p. diagrs., photos. (NACA TN 3949. Supersedes RM L53K18) |
|1.1.2.1|,|CHARTS FOR THE ANALYSIS OF FLOW IN A WHIRLING DUCT. Robert A. Makofski. May 1957. 21p. diagrs. (NACA TN 3950) |
|1.1.2.2|,|KLJGHT INVESTIGATION OF THE DRAG OF ROUND-NOSED BODIES OF REVOLUTION AT MACH NUMBERS FROM 0.6 TO 1.5 USING ROCKET- PROPELLED TEST VEHICLES. Roger G. Hart. July 1951. 9p. diagrs,, photos., tab. (NACARM L51E25) |
|1.1.2.2|,|AN INVESTIGATION AT TRANSONIC SPEEDS OF THE AERODYNAMIC CHARACTERISTICS OF AN AIR INLET INSTALLED IN THE ROOT OF A 45° SWEPT- BACK WING. Robert R. Howell and Arvid L. Keith, Jr. October 1952. 47p. diagrs., photos., tabs. (NACA RM L52H08a) |
|1.1.2.2|,|A STUDY OF THE USE OF FREON-12 AS A WIND- TUNNEL TESTING MEDIUM AT LOW SUPER- SONIC MACH NUMBERS. Milton A. Schwartzberg. November 1952. 24p. diagrs., photo. (NACA RM L52J07) |
|1.1.2.2|,|FUGHT MEASXHEMENTS OF PRESSURES ON BASE AND REAR PART OF FUSELAGE OF THE BELL X-1 RESEARCH AIRPLANE AT TRANSONIC SPEEDS, INCLUDING POWER EFFECTS. Ronald J. Kn^p and Wallace E. Johnson. January 1953. 31p. dlagrs., photos. (NACA RM L52L01) |
|1.1.2.2|,|MEASUREMENTS OF FLUCTUATING PRESSURES ON THE WINGS AND BODY OF A SWEPTBACK WING-BODY COMBINATION IN THE LANGLEY 16 -FOOT TRANSONIC TUNNEL. Louis W. Habel andI&gt;onald R. Bowman. September 1953. 24p. dlagrs., photos. (NACA RM L53G06a) |
|1.1.2.2|,|BUFFETING FORCES ON TWO-DIMENSIONAL AIR- FOILS AS AFFECTED BY THICKNESS AND THICK- NESS DISTRIBUTION. Charles F. Coe and Jack A. Mellenthin. February 1954. 26p. diagrs., photo. (NACA RM A53K24) |
|1.1.2.2|,|PRESSURES AND ASSOCIATED AERODYNAMIC AND LOAD CHARACTERISTICS FOR TWO BODIES OF REVOLUTION AT TRANSONIC SPEEDS. Harold L. Robinson. March 1954. 34p. diagrs., tab. (NACA RM L53L28a) |
|1.1.2.2|,|TRANSONIC FLOW PAST CONE CYLINDERS. George E. Solomon, California Institute of Technol- ogy. 1955. U, 16p. dlagrs., photos. (NACA Rept. 1242. Supersedes TN 3213) |
|1.1.2.2|,|THE UNSTEADY NORMAL-FORCE CHARACTERIS- TICS OF SELECTED NACA PROFILES AT HIGH SUBSONIC MACH NUMBERS. Perry P. PolenU, William A. Page, and Lionel L. Levy, Jr. May 1955. llOp. dlagrs., photos., tab. (NACA RM A55C02) |
|1.1.2.2|,|THREE-DIMENSIONAL TRANSONIC FLOW THEORY APPLIED TO SLENDER WINGS AND BODIES. Max. A. Heaslet and John R. Spreiter. July 1956. 72p. diagrs. (NACA TN 3717) |
|1.1.2.2|,|CALCULATIONS OF THB FLOW OVER AN IN- CLINED FLAT PLATE AT FREE-STREAM MACH NUMBER 1. Walter G. Vincenti, Cleo B. Wagoner, and Newman H. Fisher, Jr. August 1956. 70p. dlagrs., tabs. (NACA TN 3723) |
|1.1.2.2|,|A FACTOR AFFECTING TRANSONIC LEADING- EDGE FLOW SEPARATION. George P. Wood and Paul B. Gooderum. October 1956. 43p. diagrs., photos. (NACA TN 3804) |
|1.1.2.2|,|ON SLENDER-BODY THEORY AND THE AREA RULE AT TRANSONIC SPEEDS. Keith U. Harder and E, B. Klunker. November 1956. 14p. (NACA TN 3815. Supersedes RM L54A29a) |
|1.1.2.2|,|PARTICULAR SOLUTIONS FOR FLOWS AT MACH NUMBER 1. Max. A. Heaslet and Franklyn B. Fuller. November 1956. 32p. diagrs. (NACA TN 3868) |
|1.1.2.2|,|EXPERIMENTAL DETERMINATION OF THE RANGE OF APPUCABILITY OF THE TRANSONIC AREA RULE FOR WINGS OF TRIANGULAR PLAN FORM. William A. Page. December 1956. 22^. dlagrs., photos. (NACA TN 3872) |
|1.1.2.2|,|RESULTS OF TWO FREE-FALL EXPERIMENTS ON FLUTTER OF THIN UNSWEPT WINGS IN THE TRANSONIC SPEED RANGE . WilUam T. Lauten, Jr., and Herbert C. Nelson. January 1957. 20p. diagrs., photo., tabs. (NACA TN 3902. Supersedes RM L51C08) |
|1.1.2.2|,|THIN AIRFOIL THEORY BASED ON APPROXIMATE SOLUTION OF THE TRANSONIC FLOW EQUATION. John R. Spreiter and Alberta Y. Alksne. May 1957. 82p. (NACA TN 3970) |
|1.1.2.3|,|AERODYNAMIC STUDY OF A WING-FUSELAGE COMBINATION EMPLOYING A WING SWEPT BACK 63°. - CHARACTERISTICS AT A MACH NUMBER OF 1.53 INCLUDING EFFECT OF SMALL VARIA- TIONS OF SWEEP. Robert T. Madden, January 26. 1949. 71p. diagrs., photos., tabs. (NACA RM A8J04) |
|1.1.2.3|,|A PRESSURE-DISTRIBUTION INVESTIGATION OF A SUPERSONIC AIRCRAFT FUSELAGE AND CALI- BRATION OF THE MACH NUMBER 1.59 NOZZLE OF THE LANGLEY 4- BY 4-FOOT SUPERSONIC TUNNEL. Morton Cooper, Norman F. Smith, and Julian H. Kainer. July 29, 1949. 51p. diagrs., photos., tabs. (NACA RM L9E27a) |
|1.1.2.3|,|EFFECTS OF CERTAIN FLOW NONUNIFORMITIES ON LIFT, DRAG, AND PITCHING MOMENT FOR A TRANSONIC-AIRPLANE MODEL INVESTIGATED AT A MACH NUMBER OF 1.2 IN A NOZZLE OF CIR- CULAR CROSS SECTION. Virgil S. Ritchie. August 31, 1949. 12p. diagrs., photo. (NACA RM L9E20a) |
|1.1.2.3|,|INVESTIGATION OF DOWNWASH, SIDEWASH, AND MACH NUMBER DISTRIBUTION BEHIInD A REC- TANGULAR WING AT A MACH NUMBER OF 2.41. D. Adamson and William B. Boatright. September 14, 1950. 115p. diagrs., photos., tab. (NACA RM L50G12) |
|1.1.2.3|,|EXPERIMENTAL PRESSURE DISTRIBUTIONS OVER TWO WING-BODY COMBINATIONS AT MACH NUM- BER 1.9. Barry Moskowitz and Stephen H. Maslen. Februarys, 1951. 3lp. diagrs., photos. (NACA RM E50J09) |
|1.1.2.3|,|AN INVESTIGATION OF FLOW CHARACTERISTICS AT MACH NUMBER 4.04 OVER 6- AND 9-PERCENT- THICK SYMMETRICAL CIRCULAR -ARC AIRFOILS HAVING 30-PERCENT -CHORD TRAILING-EDGE FLAPS. Edward F. Ulmann and Douglas R. Lord. July 1951. 67p. diagrs., photos., tab. (NACA RM L51D30) |
|1.1.2.3|,|AERODYNAMICS OF SLENDER BODIES AT MACH NUMBER OF 3,12 AND REYNOLDS NUMBERS FROM 2 X 106 TO 15 x 10^. I - BODY OF REVO- LUTION WITH NEAR-PARABOLIC FOREBODY AND CYLINDRICAL AFTERBODY. John R. Jack and Warren C. Burgess. Novennber 1951. 47p. diagrs., photos, (NACA RM E51H13) |
|1.1.2.3|,|AERODYNAMIC CHARACTERISTICS OF A SLENDER CONE-CYLINDER BODY OF REVOLUTION AT A MACH NUMBER OF 3,85. John R. Jack. November 1951. 24p. diagrs., photos, (NACA RM E51H17) |
|1.1.2.3|,|PRELIMINARY INVESTIGATION OF USE OF CONI- CAL FLOW SEPARATION FOR EFFICIENT SUPER- SONIC DIFFUSION. W. E. Moeckel and P. J. Evans, Jr. December 1951. 15p. photos., diagrs. (NACA RM E51J08) |
|1.1.2.3|,|FLOW SEPARATION FROM RODS AHEAD OF BLUNT NOSES AT MACH NUMBER 2,72. Jim J. Jones. July 1952. 18p. diagrs., photos. (NACA RM L52E05a) |
|1.1.2.3|,|AN INVESTIGATION AT TRANSONIC SPEEDS OF THE AERODYNAMIC CHARACTERISTICS OF AN AIR INLET INSTALLED IN THE ROOT OF A 45° SWEPT- BACK WING. Robert R. Howell and Arvid L, Keith, Jr. October 1952. 47p. diagrs., photos., tabs, (NACA RM L52H08a) |
|1.1.2.3|,|A STUDY OF THE USE OF FREON-12 AS A WIND- TUNNEL TESTING MEDIUM AT LOW SUPER- SONIC MACH NUMBERS. Milton A. Schwartzberg. November 1952. 24p. diagrs., photo. (NACA RM L52J07) |
|1.1.2.3|,|INFLUENCE OF END PLATES ON LIFT AND FLOW FIELD OF A CANARD-TYPE CONTROL SURFACE AT A MACH NUMBER OF 2.00. George A. Wise. March 1953. 14p. photos., diagrs. (NACA RM E53A02) |
|1.1.2.3|,|INVESTIGATION OF SPOILERS AT A MACH NUM- BER OF 1.93 TO DETERMINE THE EFFECTS OF HEIGHT AND CHORDWISE LOCATION ON THE SEC- TION AERODYNAMIC CHARACTERISTICS OF A TWO-DIMENSIONAL WING. James N. Mueller. March 1953. 52p. diagrs., photos. (NACA RM L52L31) |
|1.1.2.3|,|AERODYNAMIC CHARACTERISTICS AT MACH NUMBER 4.04 OF A RECTANGULAR WING OF AS- PECT RATIO 1.33 HAVING A 6-PERCENT -THICK CIRCULAR-ARC PROFILE AND A 30-PERCENT- CHORD FULL-SPAN TRAILING-EDGE FLAP. Robert W. Dunning and Edward F. Ulmann. May 1953. 26p. diagrs., tab. (NACA RM L53D03) |
|1.1.2.3|,|EFFECT OF VARIATIONS IN REYNOLDS NUMBER ON THE AERODYNAMIC CHARACTERISTICS OF THREE BOMB OR STORE SHAPES AT A MACH NUMBER OF 1.62 WITH AND WITHOUT FINS. Robert W. Rainey. June 1953. 40p. diagrs., photos., tab. (NACA RM L53D27) |
|1.1.2.3|,|MEASUREMENTS AND PREDICTIONS OF FLOW CONDITIONS ON A TWO-DIMENSIONAL BASE SEPARATING A MACH NUMBER 3.36 JET AND A MACH NUMBER 1.55 OUTER STREAM. Donald E. Coletti. May 1954. 56p. diagrs., photos. (NACA RM L54C08) |
|1.1.2.3|,|INVESTIGATION OF THE EFFECT OF BALANCING TABS ON THE HINGE -MOMENT CHARACTERISTICS OF A TRAILING-EDGE FLAP-TYPE CONTROL ON A TRAPEZOIDAL WING AT A MACH NUMBER OF 1 ,61 . Douglas R. Lord and Cornelius Driver . August 1954. 23p. diagrs., photo. (NACARM L54F22) |
|1.1.2.3|,|THE EFFECT OF BASE BLEED ON THE BASE PRESSURE, LIFT, DRAG, AND PITCHING MOMENT OF A 10-PERCENT-THICK BLUNT- BASE AIRFOIL AT A MACH NUMBER OF 2,72. Jim J. Jones. January 1955. 17p. diagrs., photo. (NACA RM L54K1D) |
|1.1.2.3|,|INTERFEROMETRIC OBSERVATION OF FLOW ABOUT AN ISENTROPIC (REVERSE PRANDTL- MEYER STREAMLINE) COMPRESSION WEDGE AT MACH 3.0, James F. Connors, Richard R. Woollett, and Robert E. Blue. March 1955. 12p. diagrs., photos. (NACA RM E55A28) |
|1.1.2.3|,|SIMPLIFIED PROCEDURES FOR ESTIMATING FLAP -CONTROL LOADS AT SUPERSONIC SPEEDS. K. R, Czameckl and Douglas R. Lord. May 1955. 14p. diagrs. (NACA RM L55E12) |
|1.1.2.3|,|INVESTIGATION OF THE EFFECTS OF MODEL SCALE AND STREAM REYNOLDS NUMBER ON THE AERODYNAMIC (JHARACTERISTICS OF TWO REC- TANGULAR WINGS AT SUPERSONIC SPEEDS IN THE LANGLEY 9-INCH SUPERSONIC TUNNEL. Donald E. Coletti. June 1955. 32p. diagrs. (NACA RM L55D29) |
|1.1.2.3|,|EXPERIMENTAL DRAG COEFFICIENTS OF ROUND NOSES WITH CONICAL WINDSHIELDS AT MACH NUMBER 2.72. Jim J. Jones. June 1955. 18p. diagr s . , photo s . (N AC A RM L 5 5E 10) |
|1.1.2.3|,|AXIALLY SYMMETRIC SHAPES WITH MINIMUM WAVE DRAG. Max. A. Heaslet and Franklyn B. Fuller. 1956. ii, 16p. diagrs. (NACA Rept. 1255. Supersedes TN 3389) |
|1.1.2.3|,|THEORETICAL CALCULATIONS OF THE PRES- SURES, FORCES, AND MOMENTS AT SUPERSONIC SPEED6 DUE TO VARIOUS LATERAL MOTIONS ACTING ON THIN ISOLATED VERTICAL TAILS. Kenneth Margolls and Percy J. Bobbitt. 1956. 11, 44p. dUffTS., tabs. (NACA Rept. 1268. Si^ersedes TN 3373; TN 3240) |
|1.1.2.3|,|ON BOATTAIL BODIES OF REVOLUTION HAVING MINIMUM WAVE DRAG. Keith C. Harder and Conrad Rennemann, Jr. 1956. ii, 9p. diagrs., tabs. (NACA Rept. 1271. Supersedes TN 3478) |
|1.1.2.3|,|THE PROPER COMBINATION OF UFT LOADINGS FOR LEAST DRAG ON A SUPERSONIC WING. Frederick C. Grant. 1956. 11, 9p. diagrs., tab. (NACA Rept. 1275. Supersedes TN 3533) |
|1.1.2.3|,|THEORETICAL INVESTIGATION OF FLUTTER OF TWO-DIMENSIONAL FLAT PANELS WITH ONE SURFACE EXPOSED TO SUPERSONIC POTENTIAL FLOW. Herbert C. Nelson and Herbert J. Cunningham. 1956. ii, 24p. diagrs., Ubs. (NACA Rept. 1280. Supersedes TN 3465) |
|1.1.2.3|,|THEORY OF WING-BODY DRAG AT SUPERSONIC SPEEDS. Robert T. Jones. 1956. 11, 7p. diagrs. (NACA Rept. 1284. Supersedes RM A53Hl8a) |
|1.1.2.3|,|TURBULENT-HEAT-TRANSFER MEASUREMENTS AT A MACH NUMBER OF 3.90. Maurice J. Brevoort. July 1956. 15p, diagrs., tab. (NACA TN 3734) |
|1.1.2.3|,|FINITE SPAN WINGS IN COMPRESSIBLE FLOW. E. A. Krasilshchikova. September 1956. 130p. diagrs. (NACA TM 1383. From: Scientific Records of the Moscow State University, v. 154, Mechanics no.4, 1951, with appendix condensed from a document ''Modern Problems of Mechanics, " Govt. Pub. House of Tech. Theor. Literature, (Moscow, Leningrad) 1952. |
|1.1.2.3|,|AERODYNAMIC INVESTIGATION OF A PARABOLIC BODY OF REVOLUTION AT MACH NUMBER OF 1.92 AND SOME EFFECTS OF AN ANNULAR SUPER- SONIC JET EXHAUSTING FROM THE BASE. Eugene S. Love. September 1956. 62p, diagrs., photos., tab. (NACA TN 3709. Supersedes RM L9K09) |
|1.1.2.3|,|SUPERSONIC FLOW PAST NONLIFTING BUMPED AND INDENTED BODIES OF REVOLUTION. F. Edward McLean and Conrad Rennemann, Jr. September 1956. 39p. diagrs. (NACA TN 3744) |
|1.1.2.3|,|CONVERSION OF INVISCID NORMAL-FORCE CO- EFFICIENTS IN HELIUM TO EQUIVALENT COEF- FICIENTS IN AIR FOR SIMPLE SHAPES AT HYPER- SONIC SPEEDS. James N. Mueller. October 1956. 31p. diagrs. (NACA TN 3807) |
|1.1.2.3|,|ON SLENDER-BODY THEORY AND THE AREA RULE AT TRANSONIC SPEEDS. Keith C. Harder and E. B. Klunker. November 1956. 14p. (NACA TN 3815. Supersedes RM L54A29a) |
