title,creatorsall,year,pp,id_hd,id_casi,id_repno,y,x,keywordsall,id_repno_all
A Probability Analysis of the Meteorological Factors Conducive to Aircraft Icing in the United States,"Lewis, William and Bergrun, Norman R.",1952,93,metadc53548,19810068847,NACA-TN-2738,1952.7033457662105,0.2937491422150027,meteorology climatology aircraft icing,NACA-TN-2738
Procedure for Measuring Liquid-Water Content and Droplet Sizes in Supercooled Clouds by Rotating Multicylinder Method,"Lewis, William and Perkins, Porter J. and Brun, Rinaldo J.",1953,48,metadc53568,19810068900,NACA-RM-E53D23,1953.4041717879365,0.08259266445130342,meteorology rotating multicylinder method supercooled clouds,NACA-RM-E53D23
Preliminary Wind-Tunnel Investigation of the Effect of Area Suction on the Laminar Boundary Layer Over an NACA 64A010 Airfoil,"Braslow, Albert L. and Visconti, Fioravante and Burrows, Dale L.",1948,15,metadc53354,19780078547,NASA-TM-79858,1948.7489595672087,0.5371121759471822,aerodynamics area suction airfoils,NASA-TM-79858 NACA-RM-L7L15
On the Permeability of Porous Materials,"Yates, E. Carson, Jr.",1956,31,metadc53372,19780078611,NASA-TM-79825,1956.6140896762552,0.6056816179639174,composite materials permeability characteristics,NASA-TM-79825 NACA-TN-3596
Note on the Air Forces on a Wing Caused by Pitching.,"Munk, Max M.",1925,6,metadc53912,19930081021,NACA-TN-217,1925.9862753053706,0.7601527189753957,pitching characteristics aircraft wings,NACA-TN-217
Preliminary Investigation of a Technique for Stability Studies of a Self-Propelled Model of a Submerged Submarine,"McKann, Robert E. and Petynia, William W.",1954,43,metadc53394,19790080154,NACA-RM-SL54D21,1954.356242787263,0.6809561213827365,aircraft stability aircraft control submarines,NACA-RM-SL54D21
Icing Limit and Wet-Surface Temperature Variation for Two Airfoil Shapes Under Simulated High-Speed Flight Conditions,"Coles, Willard D.",1955,33,metadc53430,19810068592,NACA-TN-3396,1955.1087529268866,0.9974686931510724,aircraft icing airfoils,NACA-TN-3396
"De-Icing and Runback Characteristics of Three Cyclic Electric, External De-Icing Boots Employing Chordwise Shedding","Ruggeri, Robert S.",1953,32,metadc53420,19810068584,NACA-RM-E53C26,1953.6375436088347,0.7279077048754884,aircraft deicing aircraft boots,NACA-RM-E53C26
"Impingement of Water Droplets on a Cylinder in an Incompressible Flow Field and Evaluation of Rotating Multicylinder Method for Measurement of Droplet-Size Distribution, Volume-Median Droplet-Size, and Liquid-Water Content in Clouds","Brun, Rinaldo J. and Mergler, Harry W.",1953,71,metadc53482,19810068684,NACA-TN-2904,1953.1383730254156,0.21455483650459295,flow fields water droplets aerodynamics,NACA-TN-2904
Large-Scale Wind-Tunnel Tests of an Airplane Model With a 45 Degree Sweptback Wing of Aspect Ratio 2.8 With Area Suction Applied to Trailing-Edge Flaps and With Several Wing Leading-Edge Modifications,"Koenig, David G. and Aoyagi, Kiyoshi",1956,66,metadc53306,19740072299,NACA-RM-A56H08,1956.8358404108094,0.15121892463388986,area suction aircraft flaps,NACA-RM-A56H08
Experimental Investigation of Radome Icing and Icing Protection,"Lewis, James P. and Blade, Robert J.",1953,60,metadc53442,19810068607,NACA-RM-E52J31,1953.6434548006982,0.3835424548571277,radomes icing characteristics aircraft radar,NACA-RM-E52J31
Experimental Investigation of Boundary-Layer Suction Through Slots to Obtain Extensive Laminar Boundary Layers on a 15 Percent-Thick Airfoil Section at High Reynolds Numbers,"Loftin, Laurence K., Jr. and Horton, Elmer A.",1952,38,metadc53357,19780078548,NASA-TM-79835,1952.6494990383624,0.4349016907562433,aerodynamics boundary layer suction wing slots,NASA-TM-79835 NACA-RM-L52D02
Effect of Design Variables on Performance of Mach 4.0 Hydrogen Expansion Engines,"Dugan, James F., Jr.",1958,45,metadc53216,19710066795,NACA-RM-E58D28,1958.4823315384517,0.36311887760593076,aircraft performance aircraft engines heat exchangers,NACA-RM-E58D28
Experimental and Theoretical Studies of Area Suction for the Control of the Laminar Boundary Layer on a Porous Bronze NACA 64A010 Airfoil,"Burrows, Dale L. and Braslow, Albert L. and Terervin, Neal",1949,53,metadc53363,19780078553,NASA-TM-79871,1949.938529363559,0.6601570984597388,aerodynamics airfoils flow characteristics,NASA-TM-79871 NACA-TN-1905
Experimental Investigation of Laminar-Boundary-Layer Control on an Airfoil Section Equipped With Suction Slots Located at Discontinuities in the Surface Pressure Distribution,"Loftin, Laurence K., Jr. and Horton, Elmer A.",1953,27,metadc53185,19710065308,NACA-RM-L53J14,1953.791004435864,0.3365018472590089,airfoils laminar boundary layers suction slots,NACA-RM-L53J14
Effect of Throat Bleed on the Supersonic Performance of a Half-Conical Side-Inlet System,"Sitt, Leonard E. and McKevitt, Frank X. and Smith, Albert B.",1956,32,metadc53193,19710065519,NACA-RM-E55J07,1956.2077815632147,0.5194631556006996,throat bleed aircraft performance aircraft inlets,NACA-RM-E55J07
Experimental Investigation of Effect of Spike- Tip and Cowl-Lip Blunting on the Internal Performance of a Two-Cone Cylindrical-Cowl Inlet at Mach Number 4.95,"Weston, Kenneth C.",1958,15,metadc53218,19710066798,NACA-RM-E58G02,1958.4626453070143,0.6611450637376441,aircraft inlets flow characteristics,NACA-RM-E58G02
A Fibrous-Glass Compact as a Permeable Material for Boundary-Layer-Control Applications Using Area Suction,"Dannenberg, Robert E. and Weiberg, James A. and Gambucci, Bruno J.",1955,20,metadc53349,19780078541,NASA-TM-79824,1955.6184839915145,0.26579994133781637,fibrous-glass compacts area suction,NASA-TM-79824 NACA-TN-3388
Effect of Type of Porous Surface and Suction Velocity Distribution on the Characteristics of a 10.5 Percent-Thick Airfoil With Area Suction,"Dannenberg, Robert E. and Weiberg, James A.",1953,59,metadc53346,19780078538,NASA-TM-79856,1953.3942699903473,0.09261238345100953,airfoils area suction,NASA-TM-79856 NACA-TN-3093
Evaluation of Some Aerodynamic Controls for a Low Aspect Ratio Missile,"Winovich, Warren and Higdon, Nancy S.",1958,12,metadc53214,19710066792,NACA-RM-A58D17B,1958.711297512849,0.9091351694791213,aerodynamics missiles missile control,NACA-RM-A58D17B
Evolution of the Helicopter,"Balaban, Karl",1923,41,metadc53094,19660081202,NACA-TM-196,1923.6423273627277,0.4630322597682629,helicopters aircraft design,NACA-TM-196
A Heated-Wire Liquid-Water-Content Instrument and Results of Initial Flight Tests in Icing Conditions,"Neel, Carr B.",1955,33,metadc53543,19810068734,NACA-RM-A54I23,1955.6026580713842,0.28020906926576306,aircraft icing cloud data aircraft ice prevention,NACA-RM-A54I23
Further Experimental Studies of Area Suction for the Control of the Laminar Boundary Layer on a Porous Bronze NACA 64A010 Airfoil,"Braslow, Albert L. and Visconti, Fioravante",1950,10,metadc53362,19780078552,NASA-TM-79873,1950.1110818068569,0.5648756454130691,NACA 64A010 airfoils drag coefficients,NASA-TM-79873 NACA-TN-2112
The Calculation of the Heat Required for Wing Thermal Ice Prevention in Specified Icing Conditions,"Neel, Carr B., Jr. and Bergrun, Norman R. and Jukoff, David and Schlaff, Bernard A.",1947,107,metadc53514,19810068709,NACA-TN-1472,1947.9343287073336,0.041840331700790157,ice prevention aircraft wings,NACA-TN-1472
Statistical Explanation of Spontaneous Freezing of Water Droplets,"Levine, Joseph",1950,27,metadc53561,19810068861,NACA-TN-2234,1950.5250212845551,0.20158345939480138,meteorology water droplet freezing,NACA-TN-2234
Supplementary Investigation in the Langley 20-Foot Free-Spinning Tunnel of a 1/20-Scale Model of the Douglas F4D-1 Airplane With External Wing Fuel Tanks,"Bowman, James S., Jr.",1957,16,metadc53014,19650073470,NACA-RM-SL57L19,1957.516790865015,0.33152667031759386,Douglas F4D-1 spin characteristics recovery characteristics,NACA-RM-SL57L19
"Supersonic Investigation of the Lift, Drag, Static Stability, and Hinge-Moment Characteristics of a Rocket-Powered Model of a Ballistic-Missile Configuration","Gillespie, Warren, Jr.",1956,33,metadc53147,19690093428,NACA-RM-L56G24,1956.416218145632,0.5192042873137428,aerodynamics ballistic missiles,NACA-RM-L56G24
Supplementary Free-Spinning-Tunnel Investigation of a 1/20-Scale Model of the McDonnell F2H-3 Airplane With External Stores Installed,"Wilson, Jack H.",1952,21,metadc53010,19650073441,NACA-RM-SL52F02,1952.2726857829425,0.7279576292423785,McDonnell F2H-3 aircraft stores,NACA-RM-SL52F02
"Table of Interplanar Spacings for Crystal-Structure Determinations by X-Ray Diffraction With Molybdenum, Copper, Cobalt, Iron, and Chromium Radiations","Kittel, J. Howard",1945,62,metadc53677,19930080792,NACA-TN-1000,1945.362659914724,0.719466931252656,x-ray diffraction crystal-structure determinations,NACA-TN-1000
"Tabulated Pressure Coefficients and Aerodynamic Characteristics Measured in Flight on the Wing of the Douglas D-558-I Airplane for a 1 g Stall, a Speed Run to a Mach Number of 0.90, and a Wind-Up Turn at a Mach Number of 0.86","Keener, Earl R. and Pierce, Mary",1950,40,metadc53006,19650068445,NACA-RM-L50J10,1950.2289055868666,0.48009553899780155,pressure coefficients aerodynamics Douglas D-558-I,NACA-RM-L50J10
Systematic Wind-Tunnel Measurements on a Laminar Wing With Nose Flap,"Krueger, W.",1947,17,metadc53352,19780078545,NASA-TM-79870,1947.7727075304438,0.6881274226873099,aerodynamics nose flaps laminar wings,NASA-TM-79870 NACA-TM-1119
Tests of Round and Flat Spoilers on a Tapered Wing in the NACA 19-Foot Pressure Wind Tunnel,"Wenzinger, Carl J. and Bowen, John D.",1941,12,metadc53666,19930080783,NACA-TN-801,1941.0568104318347,0.28365694250652984,aircraft spoilers lift characteristics,NACA-TN-801
The Resistance to Air Flow of Porous Materials Suitable for Boundary-Layer-Control Applications Using Area Suction,"Dannenberg, Robert E. and Weiberg, James A. and Gambucci, Bruno J.",1954,21,metadc53347,19780078539,NASA-TM-79865,1954.6523548724574,0.8683872782109223,porous materials air flow resistance,NASA-TM-79865 NACA-TN-3094
Moments of Cambered Round Bodies,"Kempf, Günther",1949,15,metadc53600,19930080717,NACA-TM-1227,1949.0367247941447,0.7059762211548961,cambered round bodies submarines,NACA-TM-1227
Perforated Sheets as a Porous Material for Distributed Suction and Injection,"Dannenberg, Robert E. and Gambucci, Bruno J. and Weiberg, James A.",1956,27,metadc53379,19780078802,NASA-TM-79752,1956.766363254697,0.168876661238198,aerodynamics perforated sheets,NASA-TM-79752 NACA-TN-3669
Wind-Tunnel Investigation of Icing of an Engine Cooling-Fan Installation,"Lewis, James P.",1947,39,metadc53468,19810068633,NACA-TN-1246,1947.7280484923008,0.8687088354337755,aircraft de-icing aircraft icing cooling fans,NACA-TN-1246
Investigation of Boundary-Layer Reynolds Number for Transition on an NACA 65 (Sub 215)-114 Airfoil in the Langley Two-Dimensional Low-Turbulence Pressure Tunnel,"Braslow, Albert L. and Visconti, Fioravante",1948,22,metadc53353,19780078546,NASA-TM-79859,1948.7791680100534,0.3389424116567167,airfoils flow characteristics,NASA-TM-79859 NACA-TN-1704
Investigation of the Penetration of an Air Jet Directed Perpendicularly to an Air Stream,"Callaghan, Edmund E. and Ruggeri, Robert S.",1948,13,metadc53523,19810068718,NACA-TN-1615,1948.2478972330705,0.46345058487729174,air jet penetration air stream heating,NACA-TN-1615
Lightning Discharges to Aircraft and Associated Meteorological Conditions,"Harrison, L. P.",1946,164,metadc53678,19930080793,NACA-TN-1001,1946.1607987936666,0.887046343628406,meteorology lightning effects,NACA-TN-1001
Investigations Relating to the Extension of Laminar Flow by Means of Boundary-Layer Suction Through Slots,"Loftin, Laurence K., Jr. and Burrows, Dale L.",1949,58,metadc53329,19780078525,NASA-TM-79862,1949.5306194099142,0.9987051058587298,laminar flow boundary layer suction,NASA-TM-79862 NACA-TN-1961
Investigations of Slot Configurations for Film-Cooled Turbine Blades by Flow Visualization Methods,"Eckert, E. R. G. and Jackson, Thomas W. and Francisco, Allen C.",1950,57,metadc53303,19730065474,NACA-RM-E50K01,1950.7916371460442,0.8163807811978507,slot configurations flow visualization,NACA-RM-E50K01
Development of a Laminar Boundary Layer Behind a Suction Point,"Wuest, W.",1952,18,metadc53359,19780078550,NASA-TM-79874,1952.474766236603,0.7209147572529548,aerodynamics laminar boundary layers,NASA-TM-79874 NACA-TM-1336
Effects of Extreme Surface Cooling on Boundary-Layer Transition,"Jack, John R. and Wisniewski, Richard J. and Diaconis, N. S.",1957,19,metadc53338,19780078533,NASA-TM-79831,1957.7974540505222,0.10960416029238895,aerodynamics surface cooling boundary layer transition,NASA-TM-79831 NACA-TN-4094
Flight Investigation of Boundary-Layer Transition and Profile Drag of an Experimental Low-Drag Wing Installed on a Figher-Type Airplane,"Zalovcik, John A. and Skoog, Richard B.",1945,37,metadc53367,19780078575,NASA-TM-79833,1945.8493342919214,0.5324468550171388,boundary layer transition aircraft wings,NASA-TM-79833 NACA-ACR-L5C08A
Effects of Specific Types of Surface Roughness on Boundary-Layer Transition,"Loftin, Laurence K., Jr.",1946,43,metadc53334,19780078531,NASA-TM-79860,1946.1261957117222,0.517420155468797,aerodynamics surface roughness boundary layer transition,NASA-TM-79860 NACA-ACR-L5J29A
Flight Investigation of Boundary-Layer Control by Suction Slots on an NACA 35-215 Low-Drag Airfoil at High Reynolds Numbers,"Zalovcik, John A. and Wetmore, J. W. and von Doenhoff, Albert E.",1944,33,metadc53376,19780078796,NASA-TM-79834,1944.1696390457587,0.11572080178638444,aerodynamics boundary layer control,NASA-TM-79834 NACA-ACR-4B29
A Flight Investigation of the Thermal Performance of Air Heated Propeller,"Darsow, John F. and Selna, James",1947,24,metadc53446,19810068616,NACA-TN-1178,1947.8389935936518,0.8755979403638218,air-heated propellers ice prevention,NACA-TN-1178
Induction System Characteristics and Engine Surge Occurrence for Two Fighter-Type Airplanes,"Larson, Terry J. and Thomas, George M. and Bellman, Donald R.",1958,38,metadc53165,19710064938,NACA-RM-H58C14,1958.1371890358382,0.9422881212480292,induction system characteristics fighter-type airplanes,NACA-RM-H58C14
Abacus for the Reduction of English Measures to the Metric System and Vice Versa,"Tenani, Mario",1921,8,metadc53628,19930080748,NACA-TM-30,1921.392427060952,0.7533941520359714,abacus measuring tools,NACA-TM-30
Abacus Giving the Variation of the Mean Pressure of an Aviation Engine as a Function of its Speed of Rotation,"Margoulis, W.",1921,10,metadc53605,19930080722,NACA-TM-12,1921.6795891177348,0.2300785647717032,abacus measuring tools pressure characteristics,NACA-TM-12
The Rumpler Passenger Airplane,"Langsdorff, Werner v.",1921,6,metadc53612,19930080731,NACA-TM-6,1921.3027894675183,0.048858694102722144,Rumpler Limousine aircraft design,NACA-TM-6
The Law Relating to Air Currents,,1921,4,metadc53603,19930080720,NACA-TM-10,1921.5419515398723,0.09364850044595496,air currents aircraft wings,NACA-TM-10
Resume of the Theory of Naval and Aerial Propulsive Propellers and of Airplanes in the Rectilinear Flight,"Rateau, A.",1921,5,metadc53616,19930080735,NACA-TM-17,1921.940336313849,0.36094967656055255,aircraft propellers rectilinear flight,NACA-TM-17
Sixth Meeting of the Members of the German Scientific Association for Aeronautics,,1921,9,metadc53619,19930080738,NACA-TM-20,1921.9301498465395,0.8880927384169882,scientific meetings aircraft construction,NACA-TM-20
"The Technical Development of the Transport airplane: Report of the Aero-Technical Conference of the Scientific Association for Aeronautics, March 5, 1919",,1921,11,metadc53618,19930080737,NACA-TM-19,1921.4363029923481,0.6806430144317507,transport aircraft aircraft design,NACA-TM-19
Extracts from the German Technical Process. Transport Airplanes.,"Rohrbach, A. K.",1921,5,metadc53622,19930080740,NACA-TM-22,1921.0588027689014,0.2834621297988882,transport aircraft transition stage,NACA-TM-22
British Certificates of Airworthiness,,1921,5,metadc53623,19930080741,NACA-TM-23,1921.213165583109,0.39126764905312417,aircraft loading aircraft construction,NACA-TM-23
Observations on the Method of Determining the Velocity of Airships,"Volterra, Vito",1921,16,metadc53624,19930080742,NACA-TM-24,1921.7516087713998,0.7080828700720924,airship velocity aircraft power,NACA-TM-24
On a New Type of Wind Tunnel,"Munk, Max",1921,19,metadc53732,19930080841,NACA-TN-60,1921.7005137703813,0.21194645751785302,wind tunnel testing wind tunnel design,NACA-TN-60
Simple Means for Saving Fuel on Traffic Flights,"Kook, E.",1921,12,metadc53626,19930080744,NACA-TM-26,1921.1135159326795,0.09134134715626818,fuel efficiency aircraft power aircraft fuel,NACA-TM-26
The Dynamometer Hub and the Flywheel of the Engine,"Everling, E.",1921,7,metadc53625,19930080743,NACA-TM-25,1921.2009465560868,0.043182458531364376,aircraft dynamometers engine flywheeling,NACA-TM-25
Commercial Aviation in Germany: Past and Future,"Wronsky, W.",1921,10,metadc53609,19930080727,NACA-TM-5,1921.930505217461,0.30362707200190453,commercial aviation aircraft design,NACA-TM-5
The Art of Writing Scientific Reports,"Norton, F. H.",1921,8,metadc53610,19930080728,NACA-TM-7,1921.9052964680184,0.30831744743165446,scientific reports technical writing,NACA-TM-7
The Goebel Rotary Engine,,1921,2,metadc53604,19930080721,NACA-TM-11,1921.0374588972782,0.6603885811387166,aircraft engines Goebel rotary engines,NACA-TM-11
Development of Aeronautical Engines by the Army and Navy,,1921,4,metadc53611,19930080730,NACA-TM-9,1921.037948920721,0.5997858003255829,aircraft engines aircraft power,NACA-TM-9
The Small Diesel Engine as an Automotive Engine,"Frey, Ernst",1921,16,metadc53642,19930080761,NACA-TM-43,1921.7612488497336,0.6361328583098232,aircraft engines diesel engines aircraft fuel,NACA-TM-43
Competition for Safety Fuel Tanks,,1921,7,metadc53641,19930080759,NACA-TM-39,1921.7995660028746,0.22487467165371378,fuel tanks aircraft design,NACA-TM-39
Glossary of Terms Used in Flying Boat Hull Construction,"Nicolson, David",1921,10,metadc53639,19930080758,NACA-TM-40,1921.0821079192365,0.5299287814139447,glossary flying boats flying boat hulls,NACA-TM-40
Shape and Strength of Seaplane Under-Structures With Special Regard to Seaworthiness,"Lewe, Victor",1921,13,metadc53637,19930080756,NACA-TM-37,1921.821142894462,0.461742485719263,seaplanes seaplane understructures aircraft design,NACA-TM-37
Calculation of Wing Spars,"Ratzersdorfer, Julius",1921,4,metadc53633,19930080753,NACA-TM-34,1921.8683078113324,0.47996182982463065,wing spars aircraft wings,NACA-TM-34
The Efficiency of a Wind Tunnel,"Miller, William H.",1922,8,metadc53664,19930080781,NACA-TM-65,1922.8185575374953,0.6612276305940321,wind tunnel testing testing efficiency,NACA-TM-65
Determination and Classification of the Aerodynamic Properties of Wing Sections,"Munk, Max M.",1925,22,metadc53880,19930080989,NACA-TN-227,1925.946273801542,0.6790493956416067,aerodynamics wing sections,NACA-TN-227
Determination of the Profile Drag of an Airplane Wing in Flight at High Reynolds Numbers,"Bicknell, Joseph",1939,9,metadc53330,19780078526,NASA-TM-79838,1939.3997246618555,0.5330002750549385,aerodynamics profile-drag coefficients,NASA-TM-79838 NACA-TR-667
Establishment of Aviation Schools,"Kempe, Erich",1921,5,metadc53648,19930080767,NACA-TM-49,1921.0573610909987,0.2530476024424205,aviation schools aircraft design,NACA-TM-49
Boundary-Layer Measurements on Several Porous Materials With Suction Applied,"McCullough, George B. and Gambucci, Bruno J.",1952,26,metadc53366,19780078570,NASA-TM-79857,1952.7071192079397,0.753329461513574,aerodynamics boundary layer characteristics,NASA-TM-79857 NACA-RM-A52D01B
