title,creator,year,pp,id_hd,id_casi,id_repno,y,x,keywordsall,id_repno_all
High Altitude Performance Investigation of J65-B-3 Turbojet Engine With Both JP-4 and Gaseous Hydrogen Fuels,"Kaufman, Harold R.",1957,35,metadc53236,19710069801,NACA-RM-E57A11,1957.337579660647,0.18394260514547733,J65-B-3 turbojet engines aircraft fuel,NACA-RM-E57A11
High Efficiency of Seaplanes,"Pegna, G.",1921,5,metadc53630,19930080750,NACA-TM-32,1921.4485126972086,0.19492308028152583,seaplanes aircraft efficiency,NACA-TM-32
Interference Effects of Fuselage-Stored Missiles on Inlet Duct Model of an Interceptor-Type Aircraft at Mach Numbers 1.5 to 1.9,"Piercy, Thomas G.",1957,35,metadc53188,19710065513,NACA-RM-E57A11A,1957.7553408383214,0.7517923585210882,missiles interceptor-type aircraft,NACA-RM-E57A11A
Investigation of Three Low-Temperature-Ratio Combustor Configurations in a 48-Inch-Diameter Ram-Jet Engine,"Meyer, Carl L.",1954,41,metadc53173,19710065190,NACA-RM-E53K20,1954.7240612650614,0.9275367025636937,aircraft combustors ramjet engines,NACA-RM-E53K20
Investigation of Suction-Slot Shapes for Controlling a Turbulent Boundary Layer,"Pierpont, P. Kenneth",1947,29,metadc53342,19780078537,NACA-TN-1292,1947.5436347708776,0.2680683242097174,aircraft diffusers suction slots,NACA-TN-1292 NASA-TM-79866
A Method for Numerically Calculating the Area and Distribution of Water Impingement on the Leading Edge of an Airfoil in a Cloud,"Bergrun, Norman R.",1947,48,metadc53474,19810068678,NACA-TN-1397,1947.3125118031526,0.9387916200709474,water droplet trajectory flow characteristics,NACA-TN-1397
Simple Graphical Solution of Heat Transfer and Evaporation From Surface Heated to Prevent Icing,"Gray, Vernon H.",1952,19,metadc53530,19810068723,NACA-TN-2799,1952.071372852084,0.1733374193183399,ice prevention heat transfer characteristics,NACA-TN-2799
Simplified Method for Determination of Critical Height of Distributed Roughness Particles for Boundary-Layer Transition at Mach Numbers From 0 to 5,"Braslow, Albert L.",1958,18,metadc53339,19780078534,NASA-TM-79828,1958.6979119676553,0.2324038386124445,roughness particles laminar boundary layers,NASA-TM-79828 NACA-TN-4363
A Simplified Instrument for Recording and Indicating Frequency and Intensity of Icing Conditions Encountered in Flight,"Perkins, Porter J.",1951,26,metadc53537,19810068729,NACA-RM-E51E16,1951.655077153987,0.77978872667607,icing conditions measuring instruments,NACA-RM-E51E16
Tests of the Northrop XB-62 Missile in the Ames 40- by 80-Foot Wind Tunnel,"Graham, David",1954,100,metadc53262,19710073557,NACA-RM-SA54I29,1954.6782797103997,0.70304446452969,Northrop XB-62 missiles,NACA-RM-SA54I29
Tests of the Landing on Water of a Model of a High-Speed Airplane - Langley Tank Model 229,"King, Douglas A.",1947,25,metadc53125,19680071385,NASA-TM-X-61113,1947.1107637882901,0.5317460722849104,water landings hydrodynamics,NASA-TM-X-61113 NACA-RM-L7I05
De-Icing Effectiveness of External Electric Heaters for Propeller Blades,"Lewis, James P.",1948,95,metadc53450,19810068618,NACA-TN-1520,1948.6687248199758,0.18439179678209172,aircraft icing ice prevention,NACA-TN-1520
Icing Properties of Noncyclonic Winter Stratus Clouds,"Lewis, William",1947,12,metadc53551,19810068852,NACA-TN-1391,1947.5825230651492,0.31224307406094975,meteorology water droplets,NACA-TN-1391
Impingement of Water Droplets on a Rectangular Half Body in a Two-Dimensional Incompressible Flow Field,"Lewis, William",1956,27,metadc53498,19810068695,NACA-TN-3658,1956.4118151606763,0.48725090585141784,water droplets droplet impingement,NACA-TN-3658
Impingement of Cloud Droplets on Aerodynamic Bodies as Affected by Compressibility of Air Flow Around the Body,"Brun, Rinaldo J.",1953,20,metadc53484,19810068685,NACA-TN-2903,1953.2037864107217,0.345513669668851,water droplets droplet impingement,NACA-TN-2903
Longitudinal Aerodynamic Characteristics to Large Angles of Attack of a Cruciform Missile Configuration at a Mach Number of 2,"Spahr, J. Richard",1954,51,metadc53175,19710065192,NACA-RM-A54H27,1954.4514178037145,0.10396745454012801,aerodynamics cruciform missiles lift characteristics,NACA-RM-A54H27
Relation of Turbojet Propulsion System Development to the Strategic Bomber Mission,"Rothrock, Addison M.",1956,30,metadc53305,19730074323,NACA-RM-S56H07,1956.839179225938,0.5891866653549034,turbojet propulsion systems aircraft power,NACA-RM-S56H07
Problem of Landing,"Pistolesi, E.",1921,14,metadc53631,19930080751,NACA-TM-33,1921.0571541818001,0.01990808014356249,aircraft landings landing gear,NACA-TM-33
Preliminary Results of Natural Icing of an Axial-Flow Turbojet Engine,"Acker, Loren W.",1948,16,metadc53464,19810068629,NACA-RM-E8C18,1948.0299641017552,0.4250174075908598,icing conditions axial-flow turbojet engines,NACA-RM-E8C18
A Probability Analysis of the Meteorological Factors Conducive to Aircraft Icing in the United States,"Lewis, William",1952,93,metadc53548,19810068847,NACA-TN-2738,1952.0109080570408,0.680156850016258,meteorology climatology aircraft icing,NACA-TN-2738
Procedure for Measuring Liquid-Water Content and Droplet Sizes in Supercooled Clouds by Rotating Multicylinder Method,"Lewis, William",1953,48,metadc53568,19810068900,NACA-RM-E53D23,1953.7588080009443,0.5953855882841845,meteorology rotating multicylinder method supercooled clouds,NACA-RM-E53D23
Preliminary Wind-Tunnel Investigation of the Effect of Area Suction on the Laminar Boundary Layer Over an NACA 64A010 Airfoil,"Braslow, Albert L.",1948,15,metadc53354,19780078547,NASA-TM-79858,1948.0812909928898,0.7433778872184853,aerodynamics area suction airfoils,NASA-TM-79858 NACA-RM-L7L15
On the Permeability of Porous Materials,"Yates, E. Carson, Jr.",1956,31,metadc53372,19780078611,NASA-TM-79825,1956.3775865871469,0.24091595235604846,composite materials permeability characteristics,NASA-TM-79825 NACA-TN-3596
Note on the Air Forces on a Wing Caused by Pitching.,"Munk, Max M.",1925,6,metadc53912,19930081021,NACA-TN-217,1925.4241431341757,0.9425718795918857,pitching characteristics aircraft wings,NACA-TN-217
Preliminary Investigation of a Technique for Stability Studies of a Self-Propelled Model of a Submerged Submarine,"McKann, Robert E.",1954,43,metadc53394,19790080154,NACA-RM-SL54D21,1954.44315384616,0.018516329473125537,aircraft stability aircraft control submarines,NACA-RM-SL54D21
Icing Limit and Wet-Surface Temperature Variation for Two Airfoil Shapes Under Simulated High-Speed Flight Conditions,"Coles, Willard D.",1955,33,metadc53430,19810068592,NACA-TN-3396,1955.7976984615427,0.752913409046274,aircraft icing airfoils,NACA-TN-3396
"De-Icing and Runback Characteristics of Three Cyclic Electric, External De-Icing Boots Employing Chordwise Shedding","Ruggeri, Robert S.",1953,32,metadc53420,19810068584,NACA-RM-E53C26,1953.9196470545594,0.5926982985002331,aircraft deicing aircraft boots,NACA-RM-E53C26
"Impingement of Water Droplets on a Cylinder in an Incompressible Flow Field and Evaluation of Rotating Multicylinder Method for Measurement of Droplet-Size Distribution, Volume-Median Droplet-Size, and Liquid-Water Content in Clouds","Brun, Rinaldo J.",1953,71,metadc53482,19810068684,NACA-TN-2904,1953.236296497869,0.819726437235244,flow fields water droplets aerodynamics,NACA-TN-2904
Large-Scale Wind-Tunnel Tests of an Airplane Model With a 45 Degree Sweptback Wing of Aspect Ratio 2.8 With Area Suction Applied to Trailing-Edge Flaps and With Several Wing Leading-Edge Modifications,"Koenig, David G.",1956,66,metadc53306,19740072299,NACA-RM-A56H08,1956.6172664700086,0.5995848810458806,area suction aircraft flaps,NACA-RM-A56H08
Experimental Investigation of Radome Icing and Icing Protection,"Lewis, James P.",1953,60,metadc53442,19810068607,NACA-RM-E52J31,1953.1644167125758,0.7174617801650317,radomes icing characteristics aircraft radar,NACA-RM-E52J31
Experimental Investigation of Boundary-Layer Suction Through Slots to Obtain Extensive Laminar Boundary Layers on a 15 Percent-Thick Airfoil Section at High Reynolds Numbers,"Loftin, Laurence K., Jr.",1952,38,metadc53357,19780078548,NASA-TM-79835,1952.7888471179222,0.9982828478966246,aerodynamics boundary layer suction wing slots,NASA-TM-79835 NACA-RM-L52D02
Effect of Design Variables on Performance of Mach 4.0 Hydrogen Expansion Engines,"Dugan, James F., Jr.",1958,45,metadc53216,19710066795,NACA-RM-E58D28,1958.803160032345,0.6129548813345886,aircraft performance aircraft engines heat exchangers,NACA-RM-E58D28
Experimental and Theoretical Studies of Area Suction for the Control of the Laminar Boundary Layer on a Porous Bronze NACA 64A010 Airfoil,"Burrows, Dale L.",1949,53,metadc53363,19780078553,NASA-TM-79871,1949.827037209143,0.07496218058394899,aerodynamics airfoils flow characteristics,NASA-TM-79871 NACA-TN-1905
Experimental Investigation of Laminar-Boundary-Layer Control on an Airfoil Section Equipped With Suction Slots Located at Discontinuities in the Surface Pressure Distribution,"Loftin, Laurence K., Jr.",1953,27,metadc53185,19710065308,NACA-RM-L53J14,1953.4177444222141,0.5921959040057795,airfoils laminar boundary layers suction slots,NACA-RM-L53J14
Effect of Throat Bleed on the Supersonic Performance of a Half-Conical Side-Inlet System,"Sitt, Leonard E.",1956,32,metadc53193,19710065519,NACA-RM-E55J07,1956.2571760304675,0.36250813581627106,throat bleed aircraft performance aircraft inlets,NACA-RM-E55J07
Experimental Investigation of Effect of Spike- Tip and Cowl-Lip Blunting on the Internal Performance of a Two-Cone Cylindrical-Cowl Inlet at Mach Number 4.95,"Weston, Kenneth C.",1958,15,metadc53218,19710066798,NACA-RM-E58G02,1958.8992226411945,0.5050117812646531,aircraft inlets flow characteristics,NACA-RM-E58G02
A Fibrous-Glass Compact as a Permeable Material for Boundary-Layer-Control Applications Using Area Suction,"Dannenberg, Robert E.",1955,20,metadc53349,19780078541,NASA-TM-79824,1955.6142949193757,0.3655722632797168,fibrous-glass compacts area suction,NASA-TM-79824 NACA-TN-3388
Effect of Type of Porous Surface and Suction Velocity Distribution on the Characteristics of a 10.5 Percent-Thick Airfoil With Area Suction,"Dannenberg, Robert E.",1953,59,metadc53346,19780078538,NASA-TM-79856,1953.3848077140776,0.9955037545840801,airfoils area suction,NASA-TM-79856 NACA-TN-3093
Evaluation of Some Aerodynamic Controls for a Low Aspect Ratio Missile,"Winovich, Warren",1958,12,metadc53214,19710066792,NACA-RM-A58D17B,1958.1466675033155,0.5239467144745646,aerodynamics missiles missile control,NACA-RM-A58D17B
Evolution of the Helicopter,"Balaban, Karl",1923,41,metadc53094,19660081202,NACA-TM-196,1923.1158467333116,0.2557843247412708,helicopters aircraft design,NACA-TM-196
A Heated-Wire Liquid-Water-Content Instrument and Results of Initial Flight Tests in Icing Conditions,"Neel, Carr B.",1955,33,metadc53543,19810068734,NACA-RM-A54I23,1955.449650721254,0.9248646773866596,aircraft icing cloud data aircraft ice prevention,NACA-RM-A54I23
Further Experimental Studies of Area Suction for the Control of the Laminar Boundary Layer on a Porous Bronze NACA 64A010 Airfoil,"Braslow, Albert L.",1950,10,metadc53362,19780078552,NASA-TM-79873,1950.02658226001,0.90283528842631,NACA 64A010 airfoils drag coefficients,NASA-TM-79873 NACA-TN-2112
The Calculation of the Heat Required for Wing Thermal Ice Prevention in Specified Icing Conditions,"Neel, Carr B., Jr.",1947,107,metadc53514,19810068709,NACA-TN-1472,1947.8329306885612,0.5978960652810823,ice prevention aircraft wings,NACA-TN-1472
Statistical Explanation of Spontaneous Freezing of Water Droplets,"Levine, Joseph",1950,27,metadc53561,19810068861,NACA-TN-2234,1950.4920136046906,0.013870810636502195,meteorology water droplet freezing,NACA-TN-2234
Supplementary Investigation in the Langley 20-Foot Free-Spinning Tunnel of a 1/20-Scale Model of the Douglas F4D-1 Airplane With External Wing Fuel Tanks,"Bowman, James S., Jr.",1957,16,metadc53014,19650073470,NACA-RM-SL57L19,1957.5722446389102,0.1502965229844463,Douglas F4D-1 spin characteristics recovery characteristics,NACA-RM-SL57L19
"Supersonic Investigation of the Lift, Drag, Static Stability, and Hinge-Moment Characteristics of a Rocket-Powered Model of a Ballistic-Missile Configuration","Gillespie, Warren, Jr.",1956,33,metadc53147,19690093428,NACA-RM-L56G24,1956.5881647990507,0.2193123781437143,aerodynamics ballistic missiles,NACA-RM-L56G24
Supplementary Free-Spinning-Tunnel Investigation of a 1/20-Scale Model of the McDonnell F2H-3 Airplane With External Stores Installed,"Wilson, Jack H.",1952,21,metadc53010,19650073441,NACA-RM-SL52F02,1952.6758180670433,0.19106465314041354,McDonnell F2H-3 aircraft stores,NACA-RM-SL52F02
"Table of Interplanar Spacings for Crystal-Structure Determinations by X-Ray Diffraction With Molybdenum, Copper, Cobalt, Iron, and Chromium Radiations","Kittel, J. Howard",1945,62,metadc53677,19930080792,NACA-TN-1000,1945.0569441794316,0.719020583484872,x-ray diffraction crystal-structure determinations,NACA-TN-1000
"Tabulated Pressure Coefficients and Aerodynamic Characteristics Measured in Flight on the Wing of the Douglas D-558-I Airplane for a 1 g Stall, a Speed Run to a Mach Number of 0.90, and a Wind-Up Turn at a Mach Number of 0.86","Keener, Earl R.",1950,40,metadc53006,19650068445,NACA-RM-L50J10,1950.186656599108,0.80064076651509,pressure coefficients aerodynamics Douglas D-558-I,NACA-RM-L50J10
Systematic Wind-Tunnel Measurements on a Laminar Wing With Nose Flap,"Krueger, W.",1947,17,metadc53352,19780078545,NASA-TM-79870,1947.759284464606,0.9087021218457093,aerodynamics nose flaps laminar wings,NASA-TM-79870 NACA-TM-1119
Tests of Round and Flat Spoilers on a Tapered Wing in the NACA 19-Foot Pressure Wind Tunnel,"Wenzinger, Carl J.",1941,12,metadc53666,19930080783,NACA-TN-801,1941.1300525094468,0.2376080881299193,aircraft spoilers lift characteristics,NACA-TN-801
The Resistance to Air Flow of Porous Materials Suitable for Boundary-Layer-Control Applications Using Area Suction,"Dannenberg, Robert E.",1954,21,metadc53347,19780078539,NASA-TM-79865,1954.612897313843,0.231512375069576,porous materials air flow resistance,NASA-TM-79865 NACA-TN-3094
Moments of Cambered Round Bodies,"Kempf, Günther",1949,15,metadc53600,19930080717,NACA-TM-1227,1949.4784206285703,0.725553615160148,cambered round bodies submarines,NACA-TM-1227
Perforated Sheets as a Porous Material for Distributed Suction and Injection,"Dannenberg, Robert E.",1956,27,metadc53379,19780078802,NASA-TM-79752,1956.9270707077171,0.6823434493276778,aerodynamics perforated sheets,NASA-TM-79752 NACA-TN-3669
Wind-Tunnel Investigation of Icing of an Engine Cooling-Fan Installation,"Lewis, James P.",1947,39,metadc53468,19810068633,NACA-TN-1246,1947.8293281509398,0.6050692074439843,aircraft de-icing aircraft icing cooling fans,NACA-TN-1246
Investigation of Boundary-Layer Reynolds Number for Transition on an NACA 65 (Sub 215)-114 Airfoil in the Langley Two-Dimensional Low-Turbulence Pressure Tunnel,"Braslow, Albert L.",1948,22,metadc53353,19780078546,NASA-TM-79859,1948.2565303482763,0.725885462201943,airfoils flow characteristics,NASA-TM-79859 NACA-TN-1704
Investigation of the Penetration of an Air Jet Directed Perpendicularly to an Air Stream,"Callaghan, Edmund E.",1948,13,metadc53523,19810068718,NACA-TN-1615,1948.5278899688994,0.337392858479715,air jet penetration air stream heating,NACA-TN-1615
Lightning Discharges to Aircraft and Associated Meteorological Conditions,"Harrison, L. P.",1946,164,metadc53678,19930080793,NACA-TN-1001,1946.9084339057197,0.33104585773986483,meteorology lightning effects,NACA-TN-1001
Investigations Relating to the Extension of Laminar Flow by Means of Boundary-Layer Suction Through Slots,"Loftin, Laurence K., Jr.",1949,58,metadc53329,19780078525,NASA-TM-79862,1949.5843977219617,0.06879466430164571,laminar flow boundary layer suction,NASA-TM-79862 NACA-TN-1961
Investigations of Slot Configurations for Film-Cooled Turbine Blades by Flow Visualization Methods,"Eckert, E. R. G.",1950,57,metadc53303,19730065474,NACA-RM-E50K01,1950.1914700521063,0.7936770636914766,slot configurations flow visualization,NACA-RM-E50K01
Development of a Laminar Boundary Layer Behind a Suction Point,"Wuest, W.",1952,18,metadc53359,19780078550,NASA-TM-79874,1952.1419759921926,0.6692496022771224,aerodynamics laminar boundary layers,NASA-TM-79874 NACA-TM-1336
Effects of Extreme Surface Cooling on Boundary-Layer Transition,"Jack, John R.",1957,19,metadc53338,19780078533,NASA-TM-79831,1957.0049186124497,0.7030742064201109,aerodynamics surface cooling boundary layer transition,NASA-TM-79831 NACA-TN-4094
Flight Investigation of Boundary-Layer Transition and Profile Drag of an Experimental Low-Drag Wing Installed on a Figher-Type Airplane,"Zalovcik, John A.",1945,37,metadc53367,19780078575,NASA-TM-79833,1945.4970750854911,0.5113112449870298,boundary layer transition aircraft wings,NASA-TM-79833 NACA-ACR-L5C08A
Effects of Specific Types of Surface Roughness on Boundary-Layer Transition,"Loftin, Laurence K., Jr.",1946,43,metadc53334,19780078531,NASA-TM-79860,1946.7986510681735,0.19575757370026325,aerodynamics surface roughness boundary layer transition,NASA-TM-79860 NACA-ACR-L5J29A
Flight Investigation of Boundary-Layer Control by Suction Slots on an NACA 35-215 Low-Drag Airfoil at High Reynolds Numbers,"Zalovcik, John A.",1944,33,metadc53376,19780078796,NASA-TM-79834,1944.9438526430133,0.29442774573548114,aerodynamics boundary layer control,NASA-TM-79834 NACA-ACR-4B29
A Flight Investigation of the Thermal Performance of Air Heated Propeller,"Darsow, John F.",1947,24,metadc53446,19810068616,NACA-TN-1178,1947.84867267975,0.27361837707808034,air-heated propellers ice prevention,NACA-TN-1178
Induction System Characteristics and Engine Surge Occurrence for Two Fighter-Type Airplanes,"Larson, Terry J.",1958,38,metadc53165,19710064938,NACA-RM-H58C14,1958.52811561004,0.1711347665778461,induction system characteristics fighter-type airplanes,NACA-RM-H58C14
Abacus for the Reduction of English Measures to the Metric System and Vice Versa,"Tenani, Mario",1921,8,metadc53628,19930080748,NACA-TM-30,1921.8031793568105,0.7720762067944588,abacus measuring tools,NACA-TM-30
Abacus Giving the Variation of the Mean Pressure of an Aviation Engine as a Function of its Speed of Rotation,"Margoulis, W.",1921,10,metadc53605,19930080722,NACA-TM-12,1921.137042915695,0.22641563971134437,abacus measuring tools pressure characteristics,NACA-TM-12
The Rumpler Passenger Airplane,"Langsdorff, Werner v.",1921,6,metadc53612,19930080731,NACA-TM-6,1921.284106892728,0.7847803474531678,Rumpler Limousine aircraft design,NACA-TM-6
The Law Relating to Air Currents,,1921,4,metadc53603,19930080720,NACA-TM-10,1921.5007829035046,0.7337252732855308,air currents aircraft wings,NACA-TM-10
Resume of the Theory of Naval and Aerial Propulsive Propellers and of Airplanes in the Rectilinear Flight,"Rateau, A.",1921,5,metadc53616,19930080735,NACA-TM-17,1921.6931625899033,0.49441654299312143,aircraft propellers rectilinear flight,NACA-TM-17
Sixth Meeting of the Members of the German Scientific Association for Aeronautics,,1921,9,metadc53619,19930080738,NACA-TM-20,1921.6733722631004,0.7924432102173211,scientific meetings aircraft construction,NACA-TM-20
"The Technical Development of the Transport airplane: Report of the Aero-Technical Conference of the Scientific Association for Aeronautics, March 5, 1919",,1921,11,metadc53618,19930080737,NACA-TM-19,1921.2071496936974,0.021138020852338624,transport aircraft aircraft design,NACA-TM-19
Extracts from the German Technical Process. Transport Airplanes.,"Rohrbach, A. K.",1921,5,metadc53622,19930080740,NACA-TM-22,1921.250111490186,0.3227258927389616,transport aircraft transition stage,NACA-TM-22
British Certificates of Airworthiness,,1921,5,metadc53623,19930080741,NACA-TM-23,1921.5704361649123,0.17507328564576197,aircraft loading aircraft construction,NACA-TM-23
Observations on the Method of Determining the Velocity of Airships,"Volterra, Vito",1921,16,metadc53624,19930080742,NACA-TM-24,1921.5676427505455,0.9003648496138984,airship velocity aircraft power,NACA-TM-24
On a New Type of Wind Tunnel,"Munk, Max",1921,19,metadc53732,19930080841,NACA-TN-60,1921.6448417290517,0.12586855842764866,wind tunnel testing wind tunnel design,NACA-TN-60
Simple Means for Saving Fuel on Traffic Flights,"Kook, E.",1921,12,metadc53626,19930080744,NACA-TM-26,1921.9478061223901,0.0432766351205478,fuel efficiency aircraft power aircraft fuel,NACA-TM-26
The Dynamometer Hub and the Flywheel of the Engine,"Everling, E.",1921,7,metadc53625,19930080743,NACA-TM-25,1921.3284127875388,0.8020270642822115,aircraft dynamometers engine flywheeling,NACA-TM-25
Commercial Aviation in Germany: Past and Future,"Wronsky, W.",1921,10,metadc53609,19930080727,NACA-TM-5,1921.0086086294739,0.7585490198705086,commercial aviation aircraft design,NACA-TM-5
The Art of Writing Scientific Reports,"Norton, F. H.",1921,8,metadc53610,19930080728,NACA-TM-7,1921.0963561926358,0.45361939993048817,scientific reports technical writing,NACA-TM-7
The Goebel Rotary Engine,,1921,2,metadc53604,19930080721,NACA-TM-11,1921.3621837723051,0.7672973662683509,aircraft engines Goebel rotary engines,NACA-TM-11
Development of Aeronautical Engines by the Army and Navy,,1921,4,metadc53611,19930080730,NACA-TM-9,1921.3748530301157,0.2532911559374349,aircraft engines aircraft power,NACA-TM-9
The Small Diesel Engine as an Automotive Engine,"Frey, Ernst",1921,16,metadc53642,19930080761,NACA-TM-43,1921.8500302487093,0.803719912902646,aircraft engines diesel engines aircraft fuel,NACA-TM-43
Competition for Safety Fuel Tanks,,1921,7,metadc53641,19930080759,NACA-TM-39,1921.3072589992314,0.20704296375949605,fuel tanks aircraft design,NACA-TM-39
Glossary of Terms Used in Flying Boat Hull Construction,"Nicolson, David",1921,10,metadc53639,19930080758,NACA-TM-40,1921.326356477504,0.5941409097251616,glossary flying boats flying boat hulls,NACA-TM-40
Shape and Strength of Seaplane Under-Structures With Special Regard to Seaworthiness,"Lewe, Victor",1921,13,metadc53637,19930080756,NACA-TM-37,1921.0519670892018,0.03238472869140763,seaplanes seaplane understructures aircraft design,NACA-TM-37
Calculation of Wing Spars,"Ratzersdorfer, Julius",1921,4,metadc53633,19930080753,NACA-TM-34,1921.0025362207302,0.03136219628173631,wing spars aircraft wings,NACA-TM-34
The Efficiency of a Wind Tunnel,"Miller, William H.",1922,8,metadc53664,19930080781,NACA-TM-65,1922.1841267938214,0.7393513518222966,wind tunnel testing testing efficiency,NACA-TM-65
Determination and Classification of the Aerodynamic Properties of Wing Sections,"Munk, Max M.",1925,22,metadc53880,19930080989,NACA-TN-227,1925.6723976559783,0.19031069408412815,aerodynamics wing sections,NACA-TN-227
Determination of the Profile Drag of an Airplane Wing in Flight at High Reynolds Numbers,"Bicknell, Joseph",1939,9,metadc53330,19780078526,NASA-TM-79838,1939.3084891756557,0.14106164353772666,aerodynamics profile-drag coefficients,NASA-TM-79838 NACA-TR-667
Establishment of Aviation Schools,"Kempe, Erich",1921,5,metadc53648,19930080767,NACA-TM-49,1921.4230234466386,0.10499694560743478,aviation schools aircraft design,NACA-TM-49
Boundary-Layer Measurements on Several Porous Materials With Suction Applied,"McCullough, George B.",1952,26,metadc53366,19780078570,NASA-TM-79857,1952.719819405554,0.5262827696390885,aerodynamics boundary layer characteristics,NASA-TM-79857 NACA-RM-A52D01B
A Petrol-Proof Flexible Tubing at Last: An Invention of the Greatest Importance to Aviation,,1921,5,metadc53646,19930080766,NACA-TM-48,1921.4495119355427,0.6735027050638529,aircraft engines engine tubing,NACA-TM-48
Study of the Resistance Offered by Propellers Rotating on an Airstream,"Lame, M.",1921,10,metadc53620,19930080739,NACA-TM-21,1921.0502892233087,0.5963388759815914,aircraft propellers aircraft resistance,NACA-TM-21
The Oehmichen Peugeot Helicopter,,1931,5,metadc53607,19930080723,NACA-TM-13,1931.9949655676471,0.45298168419327367,Oehmichen Peugeot helicopters helicopters aircraft design,NACA-TM-13
The Coupling of Engines,"Boccaccio, Paul",1921,6,metadc53608,19930080724,NACA-TM-14,1921.6254302680372,0.37267044851454656,aircraft propellers single propellers,NACA-TM-14
Calculated Performance of a Direct-Air Nuclear Turbojet-Powered Airplane Using a Split-Flow Reactor and a Separated-Type Shield,"Doyle, R. B.",1951,16,metadc53184,19710065235,NACA-RM-E50K06,1951.46352980212,0.9182957608816668,turbojet engines nuclear engines aircraft power,NACA-RM-E50K06
Aeronautic Instruction in Germany,"Bouche, Henri",1921,7,metadc53650,19930080769,NACA-TM-51,1921.7757334709474,0.036234893958514314,aeronautics instruction aircraft education,NACA-TM-51
